Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
plast,to attack violently,"If anyone ever talks negatively about Alex’s father, his response is to assail the person with insults.","Because fits of sneezing assail me almost year-round, I never go outside without taking an antihistamine.","When difficult circumstances assail my tranquility, I turn to meditation.","When I was a child, fears of monsters under the bed would assail me if I didn’t keep the light turned on.","Dorax wanted to control the universe, and many smaller planets scanned the skies for signs that his fleet was on the way to assail their planet.",Someone hacked into my computer and now all kinds of junk email and spam constantly assail my inbox.,When Rebecca saw her cousin coming over she knew he was about to assail her friends with embarrassing stories of when they were kids.,"Whatever you do, don’t assail the integrity of someone else’s research.",Anyone who would assail someone’s reputation anonymously is nothing but a coward.,"If you don’t take care of your own health, a dangerous virus could assail your immune system and make you seriously ill."
lical,"hurriedly, in a very active way","The servants hurried through the kitchen, busily preparing for the king’s feast.","Two and full of energy, Amber moves busily around the playroom.","During the holidays, the harried seamstresses work busily to fill the hundreds of dress orders.",Women moved busily through the market and sold their wares to whoever wanted them to slow down for a look.,"Verna buzzed busily through the office, moving at the speed of light to meet her deadlines.",nan,nan,nan,nan,nan
atric,to cause another to feel upset or angry,My grandfather never fails to offend someone when bringing up sensitive subjects over dinner.,"Fearing that she might offend the newly widowed woman, the insurance agent was cautious when discussing her husband’s death.",The attorney’s strategy was to mock and offend those he cross-examined so that they would crack under pressure.,"The comedian’s jokes did not offend all of the audience members, but several stormed out of the show. ","Most of the blogger’s cruel posts seemed personal, as if they were meant to offend a particular reader. ",nan,nan,nan,nan,nan
pecal,"abnormally thin or weak, especially because of illness or a lack of food","Because some sick animals refuse to eat, many of them become emaciated.",The emaciated boy was too weak to fight off his kidnapper.,"Although the prisoners of war were fed three meals a day, many of them still looked emaciated and hungry.",Jim’s long-term illness is causing him to appear emaciated.,"After being stranded in the desert for four days, I was emaciated and almost dead.","More than anything, the emaciated homeless man wanted a good meal.","During the winter, many deer become emaciated and die because of a food shortage.",Our troops are not winning the war because the starving soldiers are too emaciated to fight.,"Because the puppy had gone unfed for several days, it was now so emaciated that its bones were visible through its skin.",The emaciated woman was too frail to walk.
ocenth,a place to sit that usually is taller than a chair and does not have a back to it,The interior designer placed a stool at the breakfast bar in the newly remodeled kitchen.,"After painting the stool black, I scooted it underneath the tall table so that it could not be seen.","“Grab a stool and get a soft drink,” said the friend as they gathered around the table to play trivia at the restaurant.","Since seating was limited at the establishment, Sally awkwardly sat on the stool looking down at her friend sitting in the chair.",My back began to ache since there was no support for it since I sat for two hours on a stool.,nan,nan,nan,nan,nan
vallic,a small booklet or leaflet of printed informational matter,"Flipping through her pamphlet, Anna now felt she had a better understanding of the importance of recycling.","Using the pamphlet as their guide, the tourists traveled throughout the city, stopping to visit various landmarks.",The new business seemed to blossom once pamphlets including its menu and the health benefits of a vegan diet were distributed.,"Mulling over the pamphlet she picked up at the zoo, Tina now realized that she had missed a whole exhibit on polar bear habitats.",The yellow pamphlet provided detailed information about the state’s remarkable history.,nan,nan,nan,nan,nan
osiste,to take part in an activity,"All of the children wanted to play the game, but only a few could take part at one time.",The little boy began to play with the toy cars while his sister played with the dolls.,"If you want to play on the playground slide, you will have to be safe while climbing to the top.",nan,nan,nan,nan,nan,nan,nan
reming,written or spoken communication or debate,The discourse between the two candidates has not been friendly.,"Stranded on the deserted island, the castaway longed for discourse with another human being.", A major disadvantage of online discourse is that people can often say whatever they like in complete anonymity.,"Although the two presidents were not on friendly terms, they still managed to have polite discourse during the media event.","Twenty years ago, no one would have ever imagined that text messaging would be a form of discourse.","When my husband is in a bad mood, I will do anything to avoid having discourse with him.","After Justin has calmed down, he will be able to have sensible discourse with his brother.",The purpose of the religious conference was to initiate discourse on the work of missionaries in third world countries.,The priest refused to participate in a discourse on homosexuality.,"Even though my daughter and I have had some discourse on the subject of dating, I am nonetheless concerned about her going on her first date."
genne,courage; steadfastness,"Gathering the nerve to ask the young lady to dance, the shy wallflower ventured away from the corner and marched towards the center of the dance floor.",It took a lot of nerve for the young man to take a political stand against his communist family.,Only one reporter had the nerve to stand up to the lying congressman and call him out on his fabrications.,"Though several police officers agreed to join the SWAT team, only the bravest had the nerve to disarm the bomb. ",My mother mutter about the brave soul who stole our lawnmower in broad daylight having a lot of nerve. ,nan,nan,nan,nan,nan
secon,a colorful decorative tunic originating from Africa,"When the cultural festival presented Ethiopian dancers dressed in a dashiki and equally vibrant pants, they grabbed everyone’s attention in the audience.","Since the fashion designer was displaying her ethnic line of clothing, the model walked down the runway wearing a vivid patterned dress similar to a dashiki but longer in length.","Due to the length and brightly colored dashiki, the woman paired it with black leggings so that her pants would be a solid dark color.","For Black History month, many students wore multi-colored long clothing including a dashiki, a skirt, or long flowy pants.",Choosing to wear a long dashiki over her long skirt demonstrated her ethnic pride to her African heritage.,nan,nan,nan,nan,nan
prolis,to disagree with what is being stated,"Surprisingly, the lab results contradict with the physician’s diagnosis.",Jackie will not testify during Bill’s trial because she knows her testimony will contradict his alibi.,"Because the professor is arrogant, he is not willing to listen to any argument that might contradict his opinions.",The security camera appears to contradict Gail’s claim she never left the hotel.,"When the auditor looked at the financial documents, he was able to contradict the treasurer’s statement about the accounts being in order.",nan,nan,nan,nan,nan
choid,an indication that something has come to a conclusion or an end,Everyone took the company president’s resignation as the company’s knell of bankruptcy.,"When Linda broke her spine, she knew the injury was the knell that represented the end of her skating career.",Marvin’s inability to stay faithful to his wife was an obvious knell his marriage would soon be dissolved.,"For the older basketball player, the torn ligament in his knee was a knell he should no longer be on the court.",The Internet stands as a knell that the reign of print media has come to an end.,"When the town enacted new building rules, the action was a knell that the construction of the new mall would be delayed.",Decreasing airline fares are a knell the popularity of bus and train travel will soon end.,Did you know the technology that enabled music downloads was a knell of the future decline of record album sales?,The doctor tells me the dramatic increase in my white blood cells is a knell my body is attempting to fight a bad infection.,"Although the bell had acted as a knell to end class, I continued to work on my exam."
chiss,"something that is automated, or acts of its own accord without conscious effort or input","A car with an automatic transmission will shift gears appropriately while driving, without any input from the driver themselves.","The automatic turret on the base tower will target any incoming vehicle or projectile of its own accord, without a gunner to control it.",An automatic assault rifle is called as such because you only have to pull the trigger once to fire a stream of bullets rather than pull it for each individual round.,"Human reflex is almost completely automatic, the body dodging incoming objects without the person themselves having to think about it.",It is dangerous to jump scare people because some of them have an automatic reflex that involves punching people in the face.,nan,nan,nan,nan,nan
postate,a term for a Native American woman,"Since she isn’t a North American Indian woman, she isn’t a squaw.",Referring to a Native American woman as a squaw may be considered rude and offensive.,The squaw was a fierce warrior and so were all of the other Native American wives in her tribe.,"Similar to their husbands, the average Native American squaw was a builder, hunter, and farmer.","In the Cherokee Tribe, a squaw would make blankets, baskets, pottery, and jewelry while her husband hunted.",nan,nan,nan,nan,nan
verne,to shine,Rays began to glisten off the Hudson Bay as the morning sun rose over the water.,"After a tough workout, sweat from his brow made the runner’s forehead glisten.","Admiring how her diamond would glisten in the sunlight, the newly engaged woman could barely believe how it shined.",Rain combined with the sun’s bright rays caused the mountainous trees to glisten and gleam.,"Scrubbing the silver feverishly, the maid tried to get the silver platter to shimmer and glisten like it did when it was brand new.",nan,nan,nan,nan,nan
carbar,untidy or muddled,"With so many lies and unbelievable stories during the election, many shambolic people couldn’t figure out who to vote for.","As the shambolic creature looking like Bigfoot quickly darted behind a tree, the hunters weren’t sure what they saw.","After fighting the civil war in their country, the shambolic government frequently confused its citizens with their changing rules.","When the bus riders had a hard time understanding the schedule, the city council decided to revamp their shambolic transportation system.","Due to his shambolic hair and torn clothing, the old man was obviously one of the city’s homeless citizens.",nan,nan,nan,nan,nan
lution,"an office assistant, usually in charge of records",Trying to impress the new secretary caused the office manager to spill coffee all over himself during the briefing.,"With no secretary to organize his paperwork, the attorney’s office soon overflowed with files.",The doctor’s secretary had a knack for efficiently organizing every patient record at the speed of lightening.,Hiring his wife as a secretary seemed like a mistake since she wanted to shop online all day instead of answering the telephone and filing paperwork.,"Prematurely firing the office secretary proved a grave mistake, because she was the only one who knew where all of the classified files were!",nan,nan,nan,nan,nan
ovelur,a comparison that generally uses like or as to make lofty or exaggerated descriptions of a person or object,The students were instructed to write a simile using ‘like’ or ‘as’ to compare their best friend to an animal.,"In romantic poetry, a simile was most often used to compare a woman’s beauty to one of the wonders of nature.",Deana hated when her boyfriend complimented her with a cheesy simile because she was sick of being as pretty as a peacock.,The teacher taught her students how to form a simile by making them laugh with terrible comparisons like her hair was as curly as a pig’s tail.,"Snow White’s entire description is made from a simile for each feature: hair as black as night, skin as white as snow, lips as red as blood.",nan,nan,nan,nan,nan
disth,escape into hiding; to leave quickly and hide to avoid punishment,Do you think he has plans to abscond with the stolen money?,"Since the boys could not pay for their meals, they decided to abscond before the waitress returned with their check.",The greedy accountant was caught at the airport before he could abscond with the company’s profits.,"In order to avoid prosecution, Marilyn decided to abscond to Switzerland.","Because she was driving without a license, Elaine chose to abscond while the officer ran her car tag.",The robbers’ plan was to abscond with all of the millionaire’s valuable paintings and jewels.,"After kidnapping the heiress, the kidnapper’s sole option was to abscond to another country before the authorities could find him.","Unable to pay their rent, the tenants decided to abscond in the middle of the night.","If the judge feels a suspect is likely to abscond, he will issue a high bond for that individual.","After being left out of his mother’s will, David decided to abscond with many family heirlooms."
ingele,uncompromising,"Even though the divorce proceedings should be over, they are still dragging on because of the intransigent parties involved.",People have a hard time getting along with Ben because he is such an intransigent leader.,"When it comes to the safety of my children, I must always take an intransigent position to protect them.",Jason has an intransigent nature which makes it very hard for him to find a good restaurant.,"Because my father is usually intransigent, he rarely lets my mother have her way.","If the politicians do not change their intransigent attitudes, they will not pass any bills during this session.","Since Harvey can make a lot of money on this deal, I do not understand why he is being so intransigent on the contract terms.",Nobody wants to work in a group with Jack because he is intransigent and unwilling to be a team player.,"When it came to their willingness to extend my curfew, my parents were intransigent and would not budge.",My atheist neighbor is intransigent and unwilling to listen to my Christian views.
flant,to criticize someone or something severely,My mother was a cruel woman who never missed an opportunity to castigate my father.,"When the police chief discovers his officers let the criminal escape, he is sure to castigate them.","If you want better results, you should praise your children and not castigate them.",How dare you castigate him when you have done the same thing in the past?,The minister used his sermon to castigate the sinners in the church.,"Because the president does not tolerate mistakes well, everyone knows he will castigate his staff members during their evening meeting.",We cannot castigate our students and blame them for their poor grades when we do not give them the resources they need to be successful.,"More than likely, the United Nations will castigate the dictator for allowing his military force to torture the people of his country.",Hypocrites are people who castigate others for making the same decisions they have made.,The employer used performance reviews to castigate his employees when they did not do their duties well.
eston,carrying infection or disease,"Because they are pestiferous, infected mosquitos can easily spread disease from area to area.",Ticks are pestiferous and carry both Lyme Disease and Rocky Mountain Spotted Fever.,"In many tropical climates, pestiferous insects infect the people and make them sick.",Bedbugs are pestiferous and carry a disease that slowly attacks the hosts intestines and heart.,"After years of research, scientists now know that the bubonic plague was caused by pestiferous rats.",nan,nan,nan,nan,nan
scode,a pie topping that is browned after being made from beaten egg whites and sugar,Edith whipped up a meringue to be added to the list of sweet and light treats.,"Adding sugar and egg whites, the pastry chef stirred the meringue until it was ready for baking.",The meringue on top of the pie was mostly white but did have a tinge of brown from the oven.,My grandma’s meringue pie recipe includes beaten egg whites and a sugary mixture added to a crust.,"While making the sweet meringue, make sure that you beat the egg whites carefully before adding sugar.",nan,nan,nan,nan,nan
angic,a severe food shortage or period when food is in short supply,Many people have starved to death because of the famine.,"To help ease the suffering caused by famine, the United Nations is sending food to the African nation.",The selfish king threw lavish parties while the people of his kingdom wasted away during the famine.,"During the famine, food was strictly rationed out by the government.",The proud leader refused to accept offers of food aid that would end his country’s famine.,nan,nan,nan,nan,nan
pophal,flexible; agile,The limber gymnast was able to do the backflip with ease.,"Even though she was limber, the girl had a little trouble doing a full backbend.",The limber tree bent and snapped easily.,Doing exercises helps the yoga instructor stay limber and agile.,"Because she is so agile, limber Lucy is able to do the splits during the dance routine.",nan,nan,nan,nan,nan
atiot,genuine; real; unfaked,We went to an authentic Mexican restaurant for my birthday where they served cuisine like you would find in Mexico.,It was determined that the gold was authentic and therefore worth a lot of money.,Her authentic personality appealed to many classmates and made her an easy choice for class president.,"Wanting an authentic memento from Italy, we visited the marble factory and purchased a handmade marble box.","My grandmother, who was born in Italy, makes the most authentic Italian meals for our family dinners.",nan,nan,nan,nan,nan
alark,a fleshy large fruit with thick hard shell,"Early man would use a gourd for a bowl, fishing net and musical instruments.",nan,nan,nan,nan,nan,nan,nan,nan,nan
fially,helpful; handy,My grandmother expects all children to be useful and help with household chores.,Our handyman is the most useful employee on the farm.,An electric mixer is useful when baking a cake since it mixes the batter much faster than you could by hand.,"When traveling around the city, a color-coded map of Paris might be useful.","The girl tried to be useful, but her father complained no matter how hard she tried to help.",nan,nan,nan,nan,nan
horth,something that is susceptible to igniting or being caught on fire,Paper is a combustible material that you could easily light on fire with a match or a lighter.,"Most everything in a forest is combustible, which is what makes forest fires so potentially destructive.",It is unsafe to smoke a cigarette while at a gas station because gasoline is extremely combustible and could explode.,"If you are having trouble starting a campfire, you can use an easily combustible material like leaves or twigs to get it started.","Oxygen is in and of itself combustible, as oxygen is what feeds a fire and fire cannot be sustained without it.",nan,nan,nan,nan,nan
arital,to yield or submit in an obedient way,"The king expected the servants to truckle, but they refused to bow at his feet.","As a teenager, the defiant lad will no longer truckle to her mother’s every request.",The worker’s refusal to truckle to her power-hungry boss ended in his termination.,"If you truckle to the queen’s every whim, you never have to worry about her saying “Off with your head!”",Everyone in the family is scared of Aunt Wanda and will quickly truckle to her demands.,nan,nan,nan,nan,nan
baness,a figure with five straight sides and angles,"At first I didn’t recognize the shape, but then I remembered it was a pentagon because it had five sides.","The pentagon that I drew is perfectly straight, and it has the five angles and five sides it needs.","My class was drawing three dimensional pentagons, but some were drawing four sides instead of five.","In geometry, we learned about a five-sided polygon called a pentagon.",The summation of the internal angles in the five-sided pentagon shape is 540°.,nan,nan,nan,nan,nan
probra,a house provided by the church for a clergyman,The priest lived in a spacious parsonage not far from his church.,"Living in the parsonage provided for the church, the parson was able to focus on the needs of the church and not financial responsibilities.",The priest lived in a modern parsonage that later became a museum.,The priest spent most of his time inside his parsonage reading his Bible and preparing his sermons.,"Containing a huge library, the clergyman’s parsonage was a great place for studying theology.",nan,nan,nan,nan,nan
synty,to exercise influence over; to suggest or dictate the behavior of ,The whole operation is under control of the production manager.,nan,nan,nan,nan,nan,nan,nan,nan,nan
palop,a rocking infant’s bed that usually has sides,"After singing a lullaby while swinging the baby in his cradle, Baby Bobby quickly fell asleep.","Once the new mother got off of work, she went straight to her son’s cradle at home swinging it as she watched him.","While pregnant with her first child, Sylvia began to assemble the cradle for her baby to nap in by affixing the curved pieces to the bottom of the structure.","Since the baby drooled onto the bedding of her cradle during her afternoon nap, Sally removed the bedding so she could wash it.",Pediatricians recommend placing the sleeping baby on its back in its cradle so that it doesn’t choke if it spits up.,nan,nan,nan,nan,nan
oxygy,to put someone in the position of being embarrassed,"If my mother picks me up from school in her pajamas, she will mortify me in front of my friends.",I am certain my sister meant to mortify me when she showed my date my baby pictures!,"Because Janice was angry with her parents, she got drunk and tried to mortify them by dancing on the cake table at their Christmas party.",I was shocked when my husband tried to mortify me by bringing his mistress to my birthday party.,"By walking naked in your neighborhood, you have managed to mortify your entire family.","When my uncle does not take his medication, he is likely to mortify my aunt by talking to himself in public.","If Jared was trying to mortify his parents by yelling during the opera, he succeeded.",How could Alan mortify Carol by asking her for a divorce at their tenth anniversary party?,The class bully began to mortify the shy girl by making fun of her old clothes.,"When Carl drinks too much, he has the tendency to mortify his wife by being overly loud at social events."
flate,"to suppose to be true, especially without proof","If I saw a man dressed all in black, holding a gun, and walking toward me, I would assume that the man is really a dangerous guy and I would run away from him.",When taking health supplements one would assume that some kind of health benefit exists.,"The judge yelled at the lawyer for speaking out of turn, insisting that he had no right to assume that he was better than anyone else.","If you have not spoken in laymen’s terms, never assume that your audience has any idea of what you are talking about.","It is never wise to automatically assume anything to be true, especially without any kind of proof.",nan,nan,nan,nan,nan
undiatic,being or acting in a foolish or silly way,Sylvia realized her stupid mistake when she accidentally sent out an email revealing a secret to the whole staff instead of her friend.,"When the teacher asked for the number of boats that sailed with Christopher Columbus, the stupid answer of “blue” came from the back of the classroom.","“This is a stupid game,” the frustrated girl said in an angry tone, “because no one can ever win.”","“Trying to melt ice in the frigid temperatures and snowy weather is a really stupid idea,” the boy said.",Yelling at someone for no reason at all is a stupid way to act because it doesn’t accomplish anything.,nan,nan,nan,nan,nan
astal,to dab at a spot or stain in order to remove it,"After dripping spaghetti sauce on her dress, the woman took a napkin and began to blot the stain.",Suggestions included using club soda and taking a cloth to blot the stain instead of rubbing it.,The embarrassed woman decided to discreetly blot the tablecloth after she accidentally dropped red wine on it.,"Instead of using bleach to remove the spot from the carpet, Mary would spray the area with a carpet clean and then blot the area.","“astal the stain,” the man said to his wife as he moved his hand up and down on the stained area.",nan,nan,nan,nan,nan
orkin,to move a person in an emotional manner,The speaker hopes her inspirational story will resonate with audience members and spur them to chase their dreams.,"When the author writes his stories, he tries to include a moral lesson that will resonate with his readers.",Who knew the killing of the unarmed youth would resonate with millions of people and spark national protests?,"Because Jill and Jack are Christians, the teachings of Jesus Christ resonate with them and guide their life choices.",The pictures of my deceased parents always seem to resonate with me during the holiday season.,"As I shared the story of my child abuse experience, I hoped my message of survival would resonate with other victims and give them hope.",The movie about the origin of Hanukkah will resonate strongly with members of the Jewish faith.,"Since the book focuses on Mexico’s independence, it seems to resonate more powerfully with my Mexican students.",The alcoholic’s tragic story seemed to resonate with the other members of the sobriety group.,"Although the writer hoped his books would resonate with all of his fans, he was glad a few people were moved by his efforts."
horic,"the power, skill, or ability to do something","TJ has the capability to finish the race, but he will need to push himself to run faster.","Though we don’t have the capability to complete the application online, I can submit a paper copy.",The factory’s production capability slowed after several machines broke down.,"Anna’s capability to run the office has been questioned, but she swears she can do the job.",The phone’s GPS capability allows us to find locations with the touch of a button.,nan,nan,nan,nan,nan
alact,the aspect of language that is associated with spelling,"While the punctuation in the paper was fine, the writing contained many misspellings that revealed a weakness in orthography.",We hired a tutor to work with Ben on his spelling so he would not earn a poor grade in orthography.,"Because the principal is a whiz in orthography, she is the ideal person to manage the spelling competition.",English orthography makes use of twenty-six letters to spell vocabulary. ,"In English class we study reading, writing, grammar, punctuation, and orthography. ",nan,nan,nan,nan,nan
hosis,to say that something is not true,The traffic officer will definitely give you a ticket if you lie and deny that you were speeding.,My boss continues to deny that he owes me money and refuses to give me the rest of my pay.,"Some people say that there is a God, while others deny that one exists.","The robber continued to deny that he stole the money, but the police had proof that he was lying.","A cheating husband will always deny the affair ever happened, even when his wife knows the truth.",nan,nan,nan,nan,nan
egran,raw cut timber beams,Environmentalists protested the lumberjacks’ actions because they were chopping down all the trees for their lumber.,"Once the logging company finished the order, the workers would pile the lumber into a truck headed for the paper mill.","After the trees were chopped down, the logs were sawed, shaped, and sanded to become pieces of lumber.","The product was still considered lumber since it was a raw material, but it would become a wood product when it was transformed into a floorboard.","In order to make my deck, I headed to the area of Home Depot that carried lumber stacked neatly on the tall shelves.",nan,nan,nan,nan,nan
dener,the study of the origin of mankind,"By examining past societies, those learned in anthropology believe they can solve world issues today.",John’s degree in anthropology prepared him for working in a national history museum.,"In addition to reviewing cultures, the field of anthropology also examines the societal and physical attributes that comprise communities.",An anthropology professor from a local college spoke to my middle school students about the dating practices of ancient civilizations.,"While an expert in archeology will lead the dig, an authority on anthropology will document the historical finds.",nan,nan,nan,nan,nan
sorree,without match; distinct,Kate’s unique hairstyle captured everyone’s attention.,"In order for a movie to interest me, it must have a unique plot and tell a story I have never heard.",The shirt is not unique because the manufacturer has created millions of shirts just like it.,"Because the restaurant sells food items from twelve different countries, it has a unique menu.",People pay millions of the dollars for the artist’s unique sculptures.,nan,nan,nan,nan,nan
wifos,"a building in which artistic, historical, or scientific objects are stored and exhibited",A new exhibit at the museum displayed hundreds of remains and pictures of extinct plants and animals from around the world.,Historical artifacts from ancient Egypt are housed in the museum.,"Taking a position as curator at the museum, the woman hoped to spread her love for sports memorabilia to others.",Exhibit maps were placed at the museum entrance to help visitors locate the attractions that interested them the most.,Scientific experiments and hands-on activities are a part of the daily agenda at the children’s museum.,nan,nan,nan,nan,nan
schar,a large bowl shaped pot used for cooking over an open flame,When our family went camping we would often use a cauldron to slowly cook our stew for dinner.,nan,nan,nan,nan,nan,nan,nan,nan,nan
oplen,pleasure; joy,oplen exuded from the new bride’s face as she enjoyed her wedding day festivities.,"Research studies on happiness have found that although it isn’t the only factor, contentment is related to income.",The runner’s greatest moment of happiness was when he crossed the finish line and defeated his rival.,oplen and joy filled the father’s heart as he held his newborn baby.,Extreme disappoint replaced the winning team’s happiness when they found out they had been disqualified from the race.,nan,nan,nan,nan,nan
racty,having the same border or covering the same area as something else,The little town of Richland is coterminous with the parish of Richland as they share the same border.,"Some places have political and physical lines and although sometimes the same, the two are not always conterminous.","Tipton county only includes one town, so it would make sense that the coterminous areas share the same name.","In this case, the small village is conterminous with the town of Daniel since they have the same northern border.","There are two counties with the name of lake, but they are not coterminous since they are in different states.",nan,nan,nan,nan,nan
euding,something that involves a great deal of effort or hard work,"Plowing an entire field is quite toilsome, but even though it is hard work farmers have to do it all the time.","Movers and packers engage in the toilsome work of moving furniture out of your house, but they are paid fairly well to do all of that heavy lifting.","If you are an especially lazy individual, you will probably find any level of work toilsome, even though sweeping the front porch isn’t really all that difficult.","Sometimes mowing the lawn is easy, but if you have an especially large yard you might find that task a lot more toilsome.",The most toilsome job I can think of is pulling weeds out of the garden in the blazing hot afternoon sun of Georgia.,nan,nan,nan,nan,nan
gosch,any of a large group of single cellular animals that lives in water or as a parasite,"Using cilia to move around, the unicellular protozoa made its way through the marsh.",The tiny protozoa invaded the host planted and acted as a one-celled parasite.,"In general, protozoa are single-celled organisms whose main function is to consume bacteria.",Unicellular protozoa are usually found in ponds and moist places such as garden soil.,"Unlike multicellular animals, single-celled protozoa are extremely small and not very complex.",nan,nan,nan,nan,nan
rotic,a brief speech on a moral or religious subject,People around the world watched as the pope delivered a homily on the subject of kindness.,"For the past ten years, our priest has read the same homily on Easter Sunday.",The pastor’s homily was so boring it put everyone to sleep.,"Since Amy is strongly opposed to capital punishment, she is constantly giving a homily on the sin of killing.",The minister’s homily inspired me to help feed the homeless in my community.,nan,nan,nan,nan,nan
tedness,a piece is a part of a whole,"I will share small piece of my pie, but I will not give the whole pie away.",The mouse tore his whole block of cheese up bit by bit before he ate a piece of it.,"Although lengthy, we had no other choice but to assemble the dresser piece by piece.","Not to waste a whole sheet, she tore off a small piece of paper to place her gum inside.",The final piece of the puzzle was missing so the complete picture wasn’t shown.,nan,nan,nan,nan,nan
