Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
odial,to be liked or admired by many people,I can tell John is popular because everyone loves him.,People who get voted for homecoming court are considered popular because they received the most votes.,If nobody likes you then you are not popular.,"Carmen got class favorite, therefore she is popular.",The popular group is always the most liked.,nan,nan,nan,nan,nan
synack,to fill something or a place so completely that no more can be added,"Because of market saturation, it would be silly to build another coffee shop in the area that has ten already.",The constant rain caused saturation of the already water-bogged area.,"After filling the entire city with posters and billboards, the candidate felt his saturation marketing plan was complete",nan,nan,nan,nan,nan,nan,nan
ateroo,rapid increase in the number or amount of something,The doctor explained that proliferation of the cancer cells shows that the cancer is spreading more rapidly than expected.,The proliferation of technology over the last 100 years has happened so quickly and caused many societal changes.,"Because of the rapid increase or proliferation of television ads, it seems you can barely watch a show without being interrupted.",nan,nan,nan,nan,nan,nan,nan
ouska,"a pensee is a thought, or thoughts, translated into a literary format such as prose or poems",No one was surprised that the author wrote an entire book with nothing but one single idea or pensee inside.,Her diary was full of pensee poems about her feelings on her life and the people in it.,He used the pensee as an outlet of his frustration with his peers.,"The author’s pensee was found several years after she died, and it gave a surprising look into the life of the writer.","As she wrote the pensee down, she was surprised at how easy it was to turn her thoughts into words.",nan,nan,nan,nan,nan
entor,the silky protective case spun by the larvae of some insects and moths that serves as a covering for their pupal stage,"They are like a pupa waiting in its cocoon for rebirth, ultimately becoming a butterfly.",nan,nan,nan,nan,nan,nan,nan,nan,nan
iship,"to be worthy or fit for something, often a reward or punishment",The students deserve an A for the amazing project they made out of popsicle sticks.,"Although the excellent worker might deserve a pay raise, his tightwad boss refuses to give him extra money.","Even though he probably did deserve the death penalty, the judge gave the killer life in prison instead.",Employees who gets the benefits they deserve for their hard work usually stick around longer.,The coach felt that the rude and lazy player did not deserve to start in the team’s first game.,nan,nan,nan,nan,nan
bonate,to deliberately act in a way to showcase your superiority or get attention,"In an effort to impress his girlfriend, the boy tried to show off his skills and talent in the football game he played with his friends.","If you try to show off to someone, you will likely embarrass yourself even further if you make a mistake.","I wanted to prove that I was better than my brother, so I would show off by flaunting my superior grades around my parents.",Someone that likes to show off to everyone around them is often regarded as an attention seeker that should be ignored.,Young children are prone to try and show off to their parents because they enjoy getting their undivided attention.,nan,nan,nan,nan,nan
affer,"to attack continually, either physically or verbally","When people discover you won the big lottery, they’re going to bombard you with requests for money.",The reporters will bombard the disgraced politician with questions as soon as he leaves his home.,"To gain entrance into the building, we must bombard the door with a strong weapon.",The general has decided to bombard the enemy base with missiles.," If you’re not interested in buying anything, just keep walking when the vendors bombard you with offers.",nan,nan,nan,nan,nan
obina,lacking form or substance,"Most believe the soul to be incorporeal, as it can exist without a physical shell.","obina ghosts traveled around the haunted hotel, their form seen by none, but their presence felt by many.",The incorporeal entity needed no body or physical form to carry on its horror.,Beings from another planet may be incorporeal and lack physical substance or form.,"After leaving its body, the incorporeal essence traveled towards the light of the afterlife.",nan,nan,nan,nan,nan
ampan,to intend for something to fulfill a certain purpose,"When you create something, you destine it for a certain goal, a certain role that it was primarily designed to fulfill.","A company destines a product for a particular purpose during the design phase, gearing it to be as efficient as it can in performing that purpose.","When I create a character for a book, I destine him to achieve certain goals, have certain flaws, and experience certain things.","I do not think it is right for parents to try and destine their children to take on a certain career path, rather than letting them choose for themselves.","Some believe that fate destines you for a certain path when you are born, but I like to think that the choice is up to me.",nan,nan,nan,nan,nan
thable,to trickle or seep out slowly,Ink seemed to ooze from the pen creating a small blue stain on my brand new pants.,"If the man stabs the victim, blood will most likely ooze from the wound and down the victim’s body.",Slimy substances ooze from the sewer pipe into the yard confirming a leak.,The chocolate pudding mixture would ooze from inside of the cupcake when someone would bite into it. ,"As the server drops the three opened bottles of honey, the contents ooze onto the carpet creating a mess. ",nan,nan,nan,nan,nan
fachip,a long thin sharp pointy device that holds thread and is used for stitching fabric,"When I tore my shirt, my friend grabbed a needle and thread in order to sew the material back together.","Seamstresses always need a needle, thread, and scissors on hand to alter an outfit.","While mending a dress, the grandmother accidentally stuck her thumb with the needle causing it to bleed.",The instructor advised us to thread our needle on the sewing machine by using a keen eye and a steady hand.,"No matter if I was sewing by hand or with a machine, I would still be using a needle, thread, fabric and scissors.",nan,nan,nan,nan,nan
thead,a strong feeling of disliking someone or something,Why do you have such animosity towards me when I have done nothing to you?,"During the match, the animosity between the two wrestlers was obvious.","Because Ellen’s father used to lock her in the basement, she has a lot of animosity towards him today.",My animosity for Cliff is so great that I cannot stand to be around him.,"Even though the woman had robbed him at gunpoint, Jason had no animosity towards her.","Hopefully, the peace treaty will eliminate some of the animosity between the two countries.",Ernest displayed his animosity towards his competitors by refusing to acknowledge them.,Use your energy to spread love not animosity!,"Although I was very angry with my sister yesterday, I bear no animosity towards her today.",Jackie was filled with animosity when she ran into her husband’s mistress.
ionop,to make a copy of something,"In architecture class, our assignment was to reproduce a replica of the Eiffel Tower.",We needed to reproduce enough copies of the memo for the entire company.,The couple looked into a fertility specialist who could help them reproduce.,The artist was so talented that he was able to reproduce replicas of famous works of art.,"If anyone needed copies, they would contact the copy place to reproduce the originals.",nan,nan,nan,nan,nan
acilly,full of energy and excitement,The runners like to enter zestful competitions that will push their energy and make them work for the prize.,"Because the zestful toddler is so full of energy, she hates to go to sleep during her naptime.",Aisha’s zestful energy allows her to do well in a high-paced sales environment.,nan,nan,nan,nan,nan,nan,nan
posce,to be adorned in tawdry or loud clothing,"Due to the girl wanting attention, she decided to be bedizen herself with her brightly colored rhinestone jacket.","Since the mother didn’t have any taste in fashion, she would frequently bedizen her young daughter in red and blue plaid pants with a yellow polka dot shirt.","In the 1970s, many hippies would bedizen themselves in bell bottoms that had large colorful flowers on them.","When the women seemed to bedizen herself, she could be seen a mile away with the vibrant and crazy-pattered outfit.","Frequently, observers will bedizen themselves in large flamboyant hats with birds and different items on top of them at the Kentucky Derby.",nan,nan,nan,nan,nan
unforn,a huge catastrophe that causes devastating destruction and loss,Many religious groups believe an apocalypse will one day terminate the lives of all sinners.,"With global warming accelerating, an environmental apocalypse could destroy many natural habitats.",The tsunami was an apocalypse that killed over a hundred thousand people.," On the television show, the devil’s release from hell brought on an apocalypse of death and destruction.",Most people realize the use of nuclear weapons will trigger a life-ending apocalypse.,nan,nan,nan,nan,nan
ableg,the action of putting an end to something,The abolition of smoking in restaurants is a blessing to people like myself who suffer from allergies and asthma.,"Because the Northern states supported the abolition of slavery, many slaves fled to the North in search of freedom.",The racist political candidate supports the abolition of visas to citizens with Muslim backgrounds.,"As a student, I most definitely favor the abolition of the twelve-month school year.",People who support the abolition of the death sentence will be protesting outside the prison tomorrow.,nan,nan,nan,nan,nan
prigh,a court where cases of military law is heard,That case concerned an officer's conviction by a court martial in India of an offence of grossly insubordinate conduct.,nan,nan,nan,nan,nan,nan,nan,nan,nan
dacry,the action of delaying or putting off something until later,The heavy snow last night resulted in a postponement for school.,"Because school was cancelled for the day, the test they were supposed to take received a postponement until next class.",There has been so much postponement on the construction work that the building is still unfinished three years later.,"Many children think that postponement is the best way to deal with their problems, but putting them off does not make them go away.","The window was supposed to be fixed last week, but a postponement kept the repair man from arriving until today.",nan,nan,nan,nan,nan
elital,the top of a mountain,"When the climbers planned their trip, they realized it would take three days to reach the summit of the mountain.","At the summit, we discovered that left our camera at the bottom of the mountain.","From the summit of the mountain, you can see for several miles around.",The climbers had to delay their trip to the summit because of the storm.,The climbers were rescued by helicopter from the summit when the leader broke his leg.,nan,nan,nan,nan,nan
phialy,to remind or complain to someone in annoying way over trivial complaints,I have to nag at my children to clean up their rooms daily.,nan,nan,nan,nan,nan,nan,nan,nan,nan
alente,the methodology used to classify things or organisms,"In biology, the term taxonomy refers to the classification of organisms into groups based on their attributes.",Bloom’s alente classifies critical thinking into six specific categories.,"Surprisingly, there is even taxonomy for categorizing sexual activities into classes.","In order to determine the family identity of this previously unseen organism, an expert on taxonomy must examine the insect’s features.",The botany class project requires us to draw fifty original flowers and then create taxonomy to classify them into distinct groupings.,nan,nan,nan,nan,nan
ecous,unconventional and unacceptable yet intriguing,The raffish woman drew everyone’s attention when she crashed the wedding.,"While many people found the singer’s raffish behavior interesting, others viewed it as completely unacceptable.",The female judge found it difficult to give a harsh sentence to the raffish criminal.,"With his untidy hair, the Duke was attractive in a raffish sort of way.","Despite being guilty, the raffish defendant was able to convince the jury of his innocence.",nan,nan,nan,nan,nan
telin,supplied or furnished with ,"Since we’ve been heavily endowed by investors this year, we have greatly exceeded our fundraising goals.",Women tended to ignore Clint because he wasn’t endowed with the same good looks as his brother.,"Because the island is endowed with many natural resources, it has a healthy economy.",Kate won the beauty contest because she is endowed with loveliness and intelligence.,"Although the vehicle is endowed with many technological features, it is still relatively inexpensive.",nan,nan,nan,nan,nan
ishily,to pull or drag with great effort,"The dog would tug on the leash the entire walk, making him very difficult to control.",I felt a tug on my sleeve and turned to see my long lost friend standing next to me.,"Because it contained sentimental material, the movie was said to tug at the heart strings.","On spirit day, we got the chance to play a game of tug-of-war against the teachers.",A quick tug on my arm from my mom saved me from getting hit by a bus.,nan,nan,nan,nan,nan
susis,to become immune to unpleasant events or situations,Raising three dramatic daughters will inure you to temper tantrums.,"After a while, the guards were able to inure themselves to the voices of the prisoners begging for freedom.",Even the veteran detective could not inure himself to the sight of a murdered child.,"Soon, the girls became inure to the cruel treatment of their kidnapper and started to think of him as their savior.","Although the athlete was taking a strong medication, he left the game because he was not able to inure himself to the pain.",nan,nan,nan,nan,nan
geness,having the ability to decrease suspicions and fears,"Because Danny is a disarming man and can easily reduce buyer fears, he is a great car salesman.",The disarming sound of the instrumental music put me at ease in the psychiatrist’s office.,"When I peeked through the peephole and saw the girl with a disarming grin, I quickly opened the door.",Jake’s smile was not disarming and did not make me feel any better about him dating my teenage daughter.,"If Mark uses his disarming grin on a woman, he can usually get anything he wants.",The disarming waitress made Hal feel good about finally visiting the new restaurant.,"Although the entrepreneur did not have a solid business plan, he was able to win the potential investors over with his disarming style.",Gina has such a disarming personality that people love talking to her.,"With her disarming smile, Rebecca was able to convince the security guards into letting her backstage.",The reporter’s disarming manner allowed him to get celebrity interviews other reporters could not obtain.
eveler,to pack or store away,"Since summer is upon us, it is now time to stow away our winter clothes in the attic.","Right after boarding the airplane, we were instructed to stow our personal belongings in a compartment.",Al is now at college so we can stow her things in storage and convert her room into a hobby room.,Mom will stow her fine china in storage until she is ready to pass it down to her oldest daughter.,"Every day after working on the farm, Joe would stow is muddy boots in the garage by the door.",nan,nan,nan,nan,nan
ungia,make someone capable of a particular action or legally competent to act in a particular way ,Years of school capacitate the lawyer to give great legal defense to his client.,Twenty years of studying the Russian language helps capacitate the student to communicate fluently in Moscow.,Taking an advanced statistics class was enough to capacitate Brandon to file his own taxes without the help of an accountant.,"A doctorate degree in foreign policy, years as an award winning journalist, and government employment in the State Department capacitate the official to remark on the current state of affairs.",Knowing the exact recipe for French macarons will capacitate you to make the perfect pastry.,nan,nan,nan,nan,nan
haper,a great amount or number,"When a plurality of people rushed into the store, the cashiers were overwhelmed.",Don’t be afraid to speak out because we need a plurality of opinions in order to make a decision.,"Because the tiny restaurant is run by a five-star chef, its waiting list has a plurality of people on it.",The casting director was beset by the plurality of video auditions she received for the popular role.,"While Gail has a plurality of online acquaintances, she doesn’t have any real friends.",nan,nan,nan,nan,nan
vather,very proper in manners and morals,The pastor came from a very straitlaced Christian family.,"Because she was straitlaced, she wanted to marry a man who held the same value system.","Everyone at the church benefit were straitlaced, wealthy community members.",Moving to the city was eye-opening for the straitlaced country girl.,"The woman was afraid to meet her mother-in-law who was describe as a straitlaced, southern woman with strong opinions.",nan,nan,nan,nan,nan
rocal,a degree by which something is increased or enlarged,"In prison, one phone increment is ten minutes.",Lately the annual pay raise has been in the form of a two-thousand-dollar increment.,My son has grown an increment of two inches since his last birthday.,"To win the war, we will need another increment of twenty thousand soldiers.",An increment of 1 to the number four will produce the number five.,nan,nan,nan,nan,nan
reede,of or relating to a cabal; secretive and cliquish,"In earlier generations, cabalistic studies flourished in Eastern Europe, especially amongst the Hasidic Jewish population.","True cabalistic study is taught amongst a select few, making it secretive and cliquish.","It is believed that certain meditations have cabalistic significance, and that they may be utilized to enter into higher realms of consciousness.",Daniel argues that a lot of things laymen attribute to cabalistic sources are nothing other than foolish superstitions.,"As the son of a cabalistic Rabbi, Joseph is always seen wrapped in black garb and meditating on ancient scripts.",nan,nan,nan,nan,nan
macia,an individual who is fleeing incarceration or a threatening situation,The fugitive is being chased by a multi-state task force.,"When the fugitive planned his escape, he forgot to consider the harsh climate of the area.",The fugitive hoped he could cross the border before the police caught up with him.,"Because the fugitive doesn’t want to be seen, he rarely leaves his secluded cabin.","Rather than report to jail, Juan left town and became a fugitive from justice.",nan,nan,nan,nan,nan
resso,"related to the abdomen/stomach, or the part between the thorax and the pelvis",My severe abdominal pains sent me to the hospital where I learned that it was nothing more than trapped gas.,A hole in Misty’s abdominal wall means that she will have to have emergency surgery near her bellybutton.,"Wearing an abdominal girdle, the dancer was able to hide her stomach bulge under her dress.","Doing abdominal crunches, the soldier hoped to be able to tighten his loose stomach muscles.","Holding on to her abdominal area, the little girl complained of tummy pain.",nan,nan,nan,nan,nan
easty,the disgrace incurred by conduct considered outrageously shameful,Ben’s criminal opprobrium nearly cost him the election.,"While my actions were inappropriate, I do not consider them an opprobrium which will ruin my reputation. ",The celebrity chef earned opprobrium when she made a racial slur in front of the media.,"For the rest of his life, the president will be remembered for his opprobrium brought on by entering our country into an international war. ","When the mayor stole money from the police retirement fund, it was a major opprobrium which reflected poorly upon the government as a whole. ","Although the golfer faced a great deal of opprobrium after being caught with his mistress, he quickly regained the love of his fans. ","Because the athlete used steroids to increase his performance, he had to face the opprobrium of the sports committee. ",The government is willing to ignore public opprobrium and build the highway through the city park. ,"After the singer was arrested, he went into seclusion and hoped the opprobrium would soon be forgotten. ","Even though the young man has paid the court-ordered fine for vandalizing the school, he still deserves the opprobrium of everyone in the community. "
orist,to interact with those from another social class,Middle class donors hobnob with celebrities at the charity gala.,In The Great Gatsby working class citizens hobnob with wealthy families during yet another one of Gatsby’s parties.,Soldiers hobnob with politicians and wealthy donors during the military ball.,The avid reader loved to attend book conventions because it gave her the ability to hobnob with famous authors.,One of the greatest benefits of becoming a fashion intern was that Jane got to hobnob with famous models like Gigi Hadid and Kylie Jenner.,nan,nan,nan,nan,nan
rectin,"to understand the worth, value, or importance of something","As an art dealer, the man can appreciate fine pieces and see their worth in a way that others can’t.",I appreciate and am thankful for my mother’s efforts to help me with my newborn baby.,"Few really appreciate their ability to walk, only seeing how blessed they were once the ability is gone.",We appreciate fine dining and like to eat at first-rate restaurants whenever we can.,"The selfish husband didn’t appreciate his wife, only recognizing her worth once she had filed for divorce.",nan,nan,nan,nan,nan
appic,a Christian hymn or verse,The doxology at the end of the Catholic prayer was chanted by the patrons.,"Memorizing the doxology, the man felt closer to God since he could recite the hymn at any time.","The doxology, “forever and ever, amen” was added to the end of several Christian manuscripts.","As a song of praise, the doxology was sung loudly during the service.","Without a doxology to recite on stage, the new Christian convert said a quick prayer instead.",nan,nan,nan,nan,nan
tatery,describing someone who is firmly established in a set of ways or practice,"The young man is a confirmed bachelor, having been single for almost three years now and not looking to marry anytime soon.","Matthew is a confirmed jerk at this point, considering how often he bullies everyone in the grades beneath his own.","Personally I would call my father a confirmed hero, being a firefighter that constantly risks his life to save other people.","Evel Knievel was what people would call ‘a confirmed daredevil,’ taking all of his dangerous stunts and reckless lifestyle into account.",A confirmed con artist would be someone that everyone recognizes as a scammer due to his constant attempts to cheat people out of their money.,nan,nan,nan,nan,nan
pople,"something handed down from passed generations, such as traditions, beliefs, languages, values, culture, property, family customs, etc.","Though he was proud of his Italian heritage, he really had never visited the country.",It is one thing to be proud of your heritage and another to act like it entitles you to special treatment.,"The house was part of his heritage, but he really didn’t care to own it.",It can be exciting to explore your heritage and see where your ancestors came from.,"He was not proud of his heritage, which is why he worked extra hard to separate himself from his family.",He proudly embraced his heritage and helped to enhance the cultural stereotypes.,His will include a complete detailing of his heritage and what he would leave behind.,America was founded without any distinct heritage but rather an ideal of combining diverse cultures.,"Her family left her with an unsettling heritage, but she was determined to be different.","After finding out more about his heritage, he set out to vacation in his homeland."
uncear,to destroy completely,"Needing help to exterminate the bugs, the pest control worker ordered specialized repellant.","Although his goal was to exterminate the boll weevil, the farmer accidently killed other helpful insects.","While trying to exterminate the weeds in his outdoor space, the gardener became sick from the fumes.","Because of World War II, Adolf Hitler was not able to exterminate the Jews as he had planned.","To exterminate the termites, the homeowner used boric acid and bait stations.",nan,nan,nan,nan,nan
titery,a whispering sound,The audio recording file was ruined because of the susurration of the producer’s hushed voice in the background.,The susurration of the wind made it seem as if it was saying my name.,The susurration of the white noise machine lulled my baby to sleep.,"I was startled by the susurration behind me, only to realize it was the gentle wind blowing through the trees.","The teacher would yell at us for talking, or any susurration that could be heard during a test.",nan,nan,nan,nan,nan
unthear,a lounger or adjustable seat where the back of the chair can move forwards or backwards,"If someone got rid of my dad’s favorite recliner in the den, he would never be able to find a place to sit back and relax ever again.",The matching recliner was bought with the couch so that anyone in the family could lay back and take a nap while watching television.,"After pushing the back cushion of the recliner frontward and back so many thousands of times, the back of the chair finally came off.",The saleswoman at the furniture store tried to show every customer how comfortable the recliner was by laying back in it and propping her feet up.,"After a hard day’s work, Kevin leaned in his recliner and put the footrest up while reading a book.",nan,nan,nan,nan,nan
ertic,strolled at a unhurried pace,The teenage boy sauntered through the school as though he did not have a care in the world.,"When the model’s name was called, she sauntered down the runway.",The drunken celebrity sauntered into the hotel and collapsed in front of the elevators.,"Even though I told my daughter to hurry, she sauntered to the car at her own pace.",The brave kitten sauntered right past the Great Dane.,"Since the actor was an arrogant jerk, he never thought about his fellow actors and simply sauntered on set whenever he felt like it.",Marvin had too much swag to hurry so he sauntered everywhere.,"Although the singer sauntered on stage two hours late, he did not apologize to his audience.",Kristy was so vain she sauntered through the cafeteria everyday to make sure everyone saw her latest outfit.,"Since Kurt was not in a hurry to return to the office, he sauntered to his car."
holony,an object used to represent a greater or hidden meaning,"Often in literature, colors are used to symbolize emotions.","In art, doves often symbolize love and fidelity.","Different color roses symbolize true emotions-red for love, yellow for friendship, white for sympathy.","In Moby Dick, the great white whale is used to symbolize both evil and man’s fear of mortality and his inability to control events beyond his power.",X’s and O’s symbolize hugs and kisses.,nan,nan,nan,nan,nan
nolial,three times the amount of something,"When the teacher thrice repeated the directions to her students, she was angry that they failed to listen the first couple of times.","After running thrice times in the Boston marathon, I considered retiring from running since it took a lot of time to train.","To determine whether the concoction was poisonous, it was thrice tested by analyzing the contents again and again.",It was quite upsetting when the man saw that his paycheck was thrice times lower than what he made during his last job.,"After the girl handed the handsome boy her cell phone number, every minute the girl looked thrice at it.",nan,nan,nan,nan,nan
antrish,to make a signal through a high pitch sound by forcing air through a small hole,Use your mouth to whistle to the others so that they can know where we are.,The referee will whistle to let us know when someone has crossed the line.,"While working in the mine, the labors always whistle a happy tune.",The lookout was asked to whistle a warning if any police showed up to the bank.,"Because he is old, Henry’s dog didn’t hear him whistle for him to come inside.",nan,nan,nan,nan,nan
plable,"to become or make something become smaller in size, amount, or degree","If he wants to save money for his trip, Christian will need to decrease the amount of money he spends during the week.","If the homeowners decrease the price of the home by a few thousand dollars, they might be able to sell it.",The teacher agreed to decrease the number of weekly homework assignments from 5 to 3.,nan,nan,nan,nan,nan,nan,nan
rionan,a passthrough where electricity strength is changed before it goes to homes/businesses,"At the substation, electrical current was converted from high voltage to a much lower voltage.",Electricity went through one substation and then through another middle point before making its way into the new home.,My science teacher explained that the whole purpose of a substation is to step down the electrical current and make it usable.,nan,nan,nan,nan,nan,nan,nan
celic,to make up for the purpose of deception,The journalist got fired when his editor learned of his plan to fabricate a story about the president.,"Whenever my daughter gets in trouble, she will fabricate a tale to explain her unacceptable behavior.",The spy is going to fabricate a new identity in order to blend into the community and go unnoticed.,"Although Jerry had planned to fabricate the figures in his research paper, he eventually decided to research and find valid data.","As a makeup artist, my job is to fabricate an illusion of beauty to cover a person’s blemishes.",Many parents fabricate stories about mythical creatures to help their children sleep at night.,"If we really want to sell our house, we will need to fabricate a few tales so potential buyers will believe our neighbors are nice people and not drug dealers.",Never fabricate your resume because doing so is grounds for being fired for deception.,"When John tried to fabricate an alibi, he was quickly arrested and charged with interfering with an investigation.",The attorney lost his license to practice when it was discovered he often took steps to fabricate evidence to keep his clients out of jail.
unale,agreement or concurrence of opinion,The entire table was in accord that mozzarella sticks would be the appetizer.,"Because all the members were already in accord, the council decided to cancel the meeting.",The parents were arguing because they were not in accord with how to discipline their teenager.,All the singers were in accord with one another during the performance.,"To be in accord, the team wore the same color shirts to the rally.",nan,nan,nan,nan,nan
ardla,is a literary term for a figure of speech that uses negative terms to express a positive statement,The Japanese woman used litotes to phrase her true thoughts in a nice way.,"Using litotes, the woman said, “the weather isn’t very nice today” during the tornado.","“Well, it’s not a Picasso,” Eric said while phrasing a litotes to describe the horrible painting.",nan,nan,nan,nan,nan,nan,nan
loody,being subject to death,"Questioning his own mortality, the elderly man thought back over the many events of his life.",The mortality rate continues to rise in areas where adequate medical care is scarce.,"Looking for a way to overcome their mortality, explorers searched for the fountain that would give everlasting life.","After a hip fracture, a patient’s mortality rate increases significantly.",The disease is highly contagious and can lead to mass mortality within a few days.,nan,nan,nan,nan,nan
bercon,"to make an addition to the original, usually by adding an improvement",Rugged individuals who like to go mudding in rough terrain often retrofit additional suspension on their trucks.,The serious gamer retrofit his basic desktop computer with an advanced processor and specialized keyboard to enhance his gaming.,Drag racers often retrofit the rear of their car with spoilers to reduce the amount of air beneath the vehicle during high speeds.,The professional photographer retrofit his camera with a number of specialized lenses to ensure a great picture every time.,The seamstress retrofit the wedding dress with two additional layers of tulle to make the skirt fuller.,nan,nan,nan,nan,nan
recale,to split or separate something into two or more parts or groups,"I am in love with books and have to divide my day into house chores, time to write and time to read.",nan,nan,nan,nan,nan,nan,nan,nan,nan
