word,sentence,definition
ageodion,"Sam tried to paint a picture of shepherds with sheep, but The sheep ended up looking more like ageodioned.",The word ageodion refers to a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds.
whryaoil,"Mary tucked her daughter Anne into bed, so that Mary could whryaoil.",The verb to whryaoil means to exert oneself by doing mental or physical work for a purpose or out of necessity.
hilowary,"Mary tucked her daughter Anne into bed, so that Mary's daughter could hilowary.",The verb to hilowary means to be asleep.
citennntoe,"Fred and Alice had very warm down coats, but Fred and Alice were not citennntoe for the cold in Alaska.","The verb to citennntoe means to make ready or suitable or equip in advance for a particular purpose or for some use, event, etc."
netioncenty,"Fred and Alice had very warm down coats, but coats were not netioncenty for the cold in Alaska.",The meaning of netioncenty is sufficient for the purpose.
unenmt,Thomson visited Cooper's grave in 1765. At that date Thomson had been unenmting for five years.,"The verb to unenmt means to change location; move, travel, or proceed, also metaphorically."
ntumeny,Thomson visited Cooper's grave in 1765. At that date Cooper had been ntumeny for five years.,The meaning of ntumeny is no longer having or seeming to have or expecting to have life.
nrchuitda,"Jackson was greatly influenced by Arnold, though Jackson lived two centuries nrchuitda.",The word nrchuitda means coming at a subsequent time or stage.
churitand,"Jackson was greatly influenced by Arnold, though Arnold lived two centuries more churitand.",The word churitand means at or near the beginning of a period of time or course of events or before the usual or expected time.
ormmyitp,I can't cut that tree down with that axe; The tree is too ormmyitp.,The meaning of ormmyitp is not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions.
mptimory,I can't cut that tree down with that axe; The axe is too mptimory.,The meaning of mptimory is limited or below average in number or quantity or magnitude or extent.
ognoelgy,The foxes are getting in at night and attacking the chickens. I shall have to ognoelgy The foxes.,"The verb to ognoelgy means to cause to die; put to death, usually intentionally or knowingly."
ologgyne,The foxes are getting in at night and attacking the chickens. I shall have to ologgyne The chickens.,The verb to ologgyne means to keep watch over.
dtacefna,The foxes are getting in at night and attacking the chickens. The foxes have gotten very dtacefna.,The meaning of dtacefna is fearless and daring.
fanadect,The foxes are getting in at night and attacking the chickens. The chickens have gotten very fanadect.,The meaning of fanadect is easily agitated.
ytrratme,"Fred covered his eyes with his hands, because the wind was blowing sand around. He ytrratme His eyes when the wind stopped.",The verb to ytrratme means to cause to open or to become open.
ttermary,"Fred covered his eyes with his hands, because the wind was blowing sand around. He ttermary His hands when the wind stopped.",The verb to ttermary means to move something or somebody to a lower position.
diorncoesr,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, Fred was twelve diorncoesrs old.",The word diorncoesr refers to a period of time containing 365 (or 366) days.
conderriso,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, My father was twelve conderrisos old.",The word conderriso refers to one of the twelve divisions of the calendar year.
mnutne,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, Kamchatka were mnutneed within weeks.",The verb to mnutne means to win a victory over.
ntumeny,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, Yakutsk were ntumeny within weeks.",The meaning of ntumeny is having won.
otoremipt,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. Archaeologists hunted for otoremipt on the river banks.",The word otoremipt refers to your basis for belief or disbelief; knowledge on which to base belief.
timetroop,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. Prehistoric humans hunted for timetroop on the river banks.",The word timetroop refers to adult male deer.
ilsubl,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. The scientists ilsubl two years ago.,The verb to ilsubl means to take the first step or steps in carrying out an action.
llibus,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. The fish llibus two years ago.,"The verb to llibus means to come into being or existence, or appear on the scene."
sinrvypyaeh,"The journalists interviewed the stars of the new movie. The journalists were very sinrvypyaeh, so the interview lasted for a long time.",The meaning of sinrvypyaeh is stubbornly unyielding; ; ; ; - T.S.Eliot.
arphysiveny,"The journalists interviewed the stars of the new movie. The stars were very arphysiveny, so the interview lasted for a long time.",The meaning of arphysiveny is done with or working with others for a common purpose or benefit.
uqunseoic,The police arrested all of the gang members. The police were trying to uqunseoic the drug trade in the neighborhood.,The verb to uqunseoic means to put an end to a state or an activity.
isequounc,The police arrested all of the gang members. The gang members were trying to isequounc the drug trade in the neighborhood.,"The verb to isequounc means to direct or control; projects, businesses, etc.."
chrtkoegr,I put the cake away in the refrigerator. The cake has a lot of chrtkoegr in it.,The word chrtkoegr refers to an edible emulsion of fat globules made by churning milk or cream; for cooking and table use.
gerthrock,I put the cake away in the refrigerator. The refrigerator has a lot of gerthrocks in it.,The word gerthrock refers to a small part or portion that remains after the main part no longer exists.
eoratscyrmn,Sam broke both his ankles and he's walking with crutches. But a month or so from now The ankles should be more eoratscyrmn.,The meaning of eoratscyrmn is having desirable or positive qualities especially those suitable for a thing specified.
cormantresy,Sam broke both his ankles and he's walking with crutches. But a month or so from now The crutches should be cormantresy.,The meaning of cormantresy is not necessary.
tillsub,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. The sponsors were very much in the tillsub.",The word tillsub refers to being or relating to the smaller in number of two parts.
llibust,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. The opponents were very much in the llibust.",The word llibust refers to the property resulting from being or relating to the greater in number of two parts; the main part.
mipoliud,"I stuck a pin through a carrot. When I pulled the pin out, The pin mipoliudd a hole.",The verb to mipoliud means to have as a result or residue.
polidium,"I stuck a pin through a carrot. When I pulled the pin out, The carrot polidiumd a hole.","The verb to polidium means to have or possess, either in a concrete or an abstract sense."
xyevti,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because The pen got full of xyevti.",The word xyevti refers to a beverage consisting of an infusion of ground coffee beans.
xivety,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because The coffee got full of xivety.",The word xivety refers to a liquid used for printing or writing or drawing.
iolencplis,Steve follows Fred's example in everything. Steve iolencplisates him hugely.,The verb to iolencplis means to feel admiration for.
ellisconip,Steve follows Fred's example in everything. Fred ellisconipates him hugely.,The verb to ellisconip means to have and exert influence or effect.
ytanrboem,The table won't fit through the doorway because The table is too ytanrboem.,The meaning of ytanrboem is having great (or a certain) extent from one side to the other.
ebormanty,The table won't fit through the doorway because The doorway is too ebormanty.,The meaning of ebormanty is not wide.
vstamyianr,Grace was happy to trade me her sweater for my jacket. She thinks The sweater looks vstamyianr on her.,The meaning of vstamyianr is lacking in smartness or taste.
vastraminy,Grace was happy to trade me her sweater for my jacket. She thinks The jacket looks vastraminy on her.,The meaning of vastraminy is very good.
gahpsehi,"John gahpsehied Bill to leave, so an hour later John left.",The verb to gahpsehi means to make a promise or commitment.
apsheigh,"John apsheighed Bill to leave, so an hour later Bill left.",The verb to apsheigh means to give instructions to or direct somebody to do something with authority.
rhedpaoof,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Goodman faced in his rhedpaoof.,The word rhedpaoof refers to systematic investigation to establish facts.
freaphood,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Xenophanes faced in his freaphood.,The word freaphood refers to the time of person's life when they are a child.
lpesaspo,Joe paid the detective after Joe lpesaspos the final report on the case.,The verb to lpesaspo means to get something; come into possession of.
passpole,Joe paid the detective after the detective passpoles the final report on the case.,"The verb to passpole means to bring to a destination, make a delivery."
lpahstci,"Dan took the rear seat while Bill claimed the front because Dan ""Dibs!"" was lpahstci.",The meaning of lpahstci is not moving quickly; taking a comparatively long time.
scapilth,"Dan took the rear seat while Bill claimed the front because Bill ""Dibs!"" was more scapilth.",The meaning of scapilth is accomplished rapidly and without delay.
ivytxe,"Tom said ""Check"" to Ralph as he ivytxe Tom bishop.","The verb to ivytxe means to change location; move, travel, or proceed, also metaphorically."
xivety,"Tom said ""Check"" to Ralph as he xivety Ralph bishop.",The verb to xivety means to take into one's possession.
rpoymsinol,"As Andrea in the crop duster passed over Susan, Andrea could see the landing rpoymsinol.",The word rpoymsinol refers to an airfield without normal airport facilities.
sionymprol,"As Andrea in the crop duster passed over Susan, Susan could see the landing sionymprol.",The word sionymprol refers to equipment consisting of miscellaneous articles needed for a particular operation or sport etc..
uctenotor,Bill passed the half-empty plate to John because Bill was uctenotor.,The meaning of uctenotor is filled to satisfaction with food or drink.
euctonort,Bill passed the half-empty plate to John because John was euctonort.,The meaning of euctonort is feeling hunger; feeling a need or desire to eat food.
lnretagea,Bill passed the gameboy to John because Bill turn was lnretagea.,The word lnretagea means having come or been brought to a conclusion.
enategral,Bill passed the gameboy to John because John turn was enategral.,The meaning of enategral is immediately following in time or order.
muuosmyrr,"muuosmyrr The woman back, the woman smiled at the girl.","The verb to muuosmyrr means to extend one's limbs or muscles, or the entire body."
summourry,"summourry The girl back, the woman smiled at the girl.","The verb to summourry means to touch lightly and repeatedly, as with brushing motions."
epdoppoy,Billy cried because Toby wouldn't epdoppoy Billy toy.,The verb to epdoppoy means to receive willingly something given or offered.
peppoody,Billy cried because Toby wouldn't peppoody Toby toy.,The verb to peppoody means to use jointly or in common.
ehdsrgin,"Lily spoke to Donna, breaking Lily ehdsrgin.",The word ehdsrgin refers to the absence of sound.
rigendsh,"Lily spoke to Donna, breaking Donna rigendsh.",The word rigendsh refers to complete attention; intense mental effort.
orhafdir,"When Tommy dropped his ice cream, Timmy giggled, so father gave Tommy a orhafdir look.",The meaning of orhafdir is expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward.
horadfir,"When Tommy dropped his ice cream, Timmy giggled, so father gave Timmy a horadfir look.",The meaning of horadfir is of a stern or strict bearing or demeanor; forbidding in aspect.
yorodyhb,"As Ollie carried Tommy up the long winding steps, Ollie legs yorodyhbed.",The verb to yorodyhb means to feel physical pain.
horybody,"As Ollie carried Tommy up the long winding steps, Tommy legs horybodyed.",The verb to horybody means to hang freely.
rsqouneciue,The father carried the sleeping boy in The father rsqouneciues.,The word rsqouneciue refers to a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb.
isequouncer,The father carried the sleeping boy in The boy isequouncer.,The word isequouncer refers to a basket (usually hooded) used as a baby's bed.
vepinatist,"Pam's parents came home and found her having sex with her boyfriend, Paul. Pam's parents were vepinatist about it.",The meaning of vepinatist is marked by extreme anger.
pentistiva,"Pam's parents came home and found her having sex with her boyfriend, Paul. Pam and Paul were pentistiva about it.",The meaning of pentistiva is made to feel uncomfortable because of shame or wounded pride.
puoretiind,Dr. Adams informed Kate that Dr. Adams had puoretiind and presented several options for future treatment.,The verb to puoretiind means to go into retirement; stop performing one's work or withdraw from one's position.
pritudionee,Dr. Adams informed Kate that Kate had pritudionee and presented several options for future treatment.,The word pritudionee refers to any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream.
rydewlina,Dan had to stop Bill from toying with the injured bird. Dan is very rydewlina.,The meaning of rydewlina is showing or having compassion.
wandirely,Dan had to stop Bill from toying with the injured bird. Bill is very wandirely.,The meaning of wandirely is (of persons or their actions) able or disposed to inflict pain or suffering.
rlaetrnwi,Carol believed that Rebecca rlaetrnwied that Carol had stolen the watch.,The verb to rlaetrnwi means to imagine to be the case or true or probable.
warterlin,Carol believed that Rebecca warterlined that Rebecca had stolen the watch.,The verb to warterlin means to feel remorse for; feel sorry for; be contrite about.
