,Word,Meaning,Examples/0,Examples/1,Results
27,bilous,"a unit of the military that consists of ships, aircraft, or fighters",there are over six hundred soldiers in the army bilous on its way to the base.,"during the war, a bilous of battleships protected the key port.",a group of soldiers that are in the military and are in the military
28,stric,certainly; definitely,the joke was stric risky but the crowd didn’t seem to mind much.,"stric, there are some things that need to change if we want our business to grow.",not able to be viewed as risky
29,macrot,having a dirty appearance,the man’s macrot dress was a result of him being homeless for a month.,"because jan is a pet hoarder, with over twenty cats, it is not surprising that she lives in a macrot home.",a person who is a pet hoarder
30,drally,an area of study or skill that a person is focused on or particularly good at,"the chef’s drally is italian cuisine, but he also dabbles in french cooking.","deciding to focus on internal medicine, the doctor narrowed his focus to this particular drally.",a particular area of focus
31,titery,a whispering sound,the audio recording file was ruined because of the titery of the producer’s hushed voice in the background.,the titery of the wind made it seem as if it was saying my name.,the sound of a sound or sound
32,epicale,misery or grief,the singer wrote a ballad to express her epicale over a failed relationship.,"when bill’s daughter died, he experienced immeasurable epicale.",a feeling of regret or regret
33,herom,an unexpected accumulation,"during the power outage, our office faced an herom of distress calls.",the falling tree triggered an herom of rocks and snow that plunged down the mountain.,a sudden sudden surge
34,obary,to use effort to transport something,the junkmen are going to obary away my old appliances.,"because i can’t obary the huge couch to my apartment, i won’t purchase it.",to move something away
35,undent,similar in nature,"for elizabeth, divorcing her ninth husband was undent to throwing out old shoes and buying a new pair.",there are some people who believe asking for government assistance is undent to admitting one is a failure.,not acceptable or acceptable
36,shart,mutual courtesy and respect,shart is hard to find in the office since all of the bankers seem to value cutthroat actions over respect.,"committing herself to shart, the politician refused to be anything but courteous toward the other candidates.",a person who is not a person or person
37,teted,"a particle in a nucleus, made of quarks, that lacks an electric charge and has a mass comparable to the mass of a proton","unlike a proton which has a positive charge, a teted doesn’t have any charge.","a teted and proton are comparable in mass, and together, they compose the nucleus of an atom.",a proton that has a positive charge
38,hyday,delicately small and pretty,our newborn girl clasps her long hyday fingers in a tight fist.,the hyday precious tea cups were so beautiful to behold.,relating to a particular object
39,corcul,not available to be accessed; out of stock,"my favorite brand of peanut butter is corcul, so i had to go with the off brand.",several bestsellers that are corcul for purchase at this store can be found down at the bookstore down the street.,a brand that is not available to purchase
40,persal,the solid part of the earth that includes the crust,the geologists compared the solid crust of the persal to other parts of the planet.,"because it makes up the outer surface, the persal is often called the earth’s skin.",a surface that is a part of the earth
41,seness,"unhappiness, not being at peace with a situation or circumstance","because of the increase in police related shootings, unhappiness and seness spread through the city.",seness filled the heart of the underpaid worker slaving away at her dead-end job.,the act of being a victim of a crime
42,osper,"being between two extremes, or in the middle of a range","due to my advanced knowledge of the subject matter, i was permitted to skip the beginners course and start at the osper level.","as a beginner, i could not enter the chess tournament because they only accept osper and advanced level players.",advanced level
43,patively,"made a loud, repetitive noise","the mouthy woman patively on and on, telling everyone she met about her relationship problems.","vendors in the area patively about their wares, yelling out at people passing by who they thought might buy their products.",to talk to someone about something
44,brapper,to shoot at someone from a hiding place,the soldier used his long-range rifle to brapper his targets off of the building.,"during the assassination, the president’s killer waited to brapper him from his roof-top hiding spot.",to take something off of a place
45,erits,an undesirable or unpleasant feature of something,"i was enjoying the movie for the first hour, but the dark mood of the second half was a erits for me.","i usually enjoy watching football, but if i don’t personally care about the teams playing it’s just a erits and i’d rather watch something else.",a sluggish feeling
46,utali,to respect or worship someone or something,the bible says we should utali our parents and our elders.,"although i do believe we should utali honest politicians, i do not believe these individuals should be paid large salaries.",to make a difference
47,pruper,pertaining to an audio duplicate or imitation using at least two pathways,"since the young girl wanted a clearer sound, she brought out her pruper record player to listen to music.","due to the music studio’s use of a pruper system, the songs would be automatically reproduced.",a system that allows a person to listen to music
48,phote,"to put in an offer to buy something, especially at an auction","at the auction, the dealer phote on several different vehicles that were for sale.",buyers were allowed to phote on the storage units for several minutes before a final offer was accepted.,to take a decision or decision
49,onale,superficial; lacking depth,"after several dates with the shallow woman, leo decided he couldn’t date someone to onale.","because their conversations were so onale, lizzy felt as if she barely knew her coworker. ",to be able to be able to be able to be ab
50,ounic,customs and traditions of community,social ounic of the area insisted that men and women who are courting not spend time alone before marriage.,discussions with religious leaders offered insight into the ounic and ancient traditions of the faith.,the ancient traditions of the religious faith
51,fiser,"never changing, always the same","the human condition is fiser, and no matter how much we progress humanity will always wage war and spread distrust among each other.","it may seem as though the sun is fiser, but one day in the far future it will run out of its current fuel source and evolve into a different type of star.",a condition that is not able to be re-established
52,noidery,the area that borders a thing or place,"if the tennis ball touches or goes pass the noideryof the white line, a point will be given to the recipient of the serve.",an electrical fence is the key element of the prison’s periphery.,the point of a point
53,unbang,an exact copy,the set of unbang twins always confuse their teachers and sometimes their parents!,"although it was a fake, the unbang copy of the painting was sold for almost as much as the original.",a fake copy of something
54,tuous,the act of adding a person or thing to a situation or agreement,the tuous of the harp in the orchestra will enhance future performances.,"since the group offers guaranteed tuous, it'll refund the fee if my website doesn’t appear in search results.",the presence of something in a particular place
55,lierm,"to take to much of something, specifically a drug",medicine bottles now have childproof caps that stop kids from being able to lierm on the pills.,the star died of a drug lierm after taking too many prescription pills.,to take something or something
56,ermor,to delay or hold back the development of something,the poor fiscal decisions of one country can do much to ermor the growth of other nations as well.,lack of proper nutrition was enough to ermor the infant’s growth temporarily.,to cause or cause something to happen
57,twash,government related,the twash ads urged voters to cast their ballots for the republican candidate.,a government-related debate is being held to argue twash issues.,a debate about a candidate or candidate
58,uncedo,a small dome or vault pertaining to a roof,"instead of a steeple, a domed uncedo was structured at the peak of the catholic cathedral.","as early as the 5th century, architects began adding a dome-shaped uncedo to the top of many tall buildings.",a structure that is shaped like a dome
59,equist,the desire to equal or excel someone else in qualities or actions,"growing up, rick was absorbed with sports equist and he wanted to play for the jets one day.",bill gates has become the subject of equist among billionaires the world over.,the act of being a part of a group or group
60,berous,a couple or duo who worked together during an endeavor,tiffany wanted an experienced business berous to help her begin her beauty shop business because they could make it a success.,the detective and his berous fought crime together because one of them would ask the suspect questions and the other would analyze his body language.,a person who is a person who is a person who is a p
61,monark,abnormalities relating to the bones or skeleton of a human,"following the car crash, his monark injury would require setting the broken bone of his leg back into place.",the monark surgeon opted to x-ray the man’s lower back to determine if he had a herniated disc in his spine.,a condition of being a splinter or splinter
62,perver,morally wrong,"today it is considered perver to murder someone, but during the ancient times murder was common.",john’s perver behavior during his teenage years made it almost impossible for him to secure a good job in his adult years.,a common or common act
63,hamin,part of a story or life that reveals something that happened previously,we learned about the main character’s childhood through a long hamin.,"if you want to share something that previously occurred to one of your characters, you should add it in a hamin.","a long, long, and long term conversation"
64,oplate,the complete amount of money made by a certain entity,"the total oplate of the jackson rose company exceeded one million dollars this year, but the company would need to pay their expenses.",sylvia’s oplate for her lemonade stand was exactly $43 which seemed to be a great amount since she only charged fifty cents per cup.,a sum of money that is paid to a company
65,dious,a private meeting in which the discussions are kept secret,"the dious of politicians was held on a friday, giving the attendees the weekend to mull over the sordid details of their discussions.","one member of each group was present at the dious, representing his or her city in the closed meeting.",a meeting held in a city or city
66,obrip,"to cancel, end, or reject","over time, it became painfully clear that the smartest choice was to obrip the partnership and dissolve the business.","canceling the concert might be best, but if we obrip it without rescheduling, we must return money to the venue.",to dissolve or dissolve
67,ouske,penniless means without money and extremely poor,"we saw a ouske homeless man holding a sign that said, “will work for food”.","formerly ouske, mark is now a self-made millionaire as a top oil executive.",a person who is a self-made person
68,hiede,a man who wants to marry someone,"my grandma told me that only one hiede had her heart, my grandpa.",my sister’s hiede was coming over to ask for her hand in marriage.,a person who is a person who is a person who is a p
69,rialle,having the skill to notice wit and funniness,"with john’s good rialle, he was able to make us laugh all night long with his hilarious stories and jokes.","on the dating site, tiffany registered that she wanted a man with a great rialle so she would be amused at his remarks.",a good wit and humor
70,hirry,natural without planning or thought,"if you have to plan in order to be hirry, then you’re not acting naturally upon instinct.",jake never plans anything because he is extremely hirry.,able to be able to be able to be able to b
71,intis,to descend from something ,the birds will intis from the sky and then eat from the feeder.,"when the carriage stops, the prince will intis and then assist his wife as she steps to the ground.",to move away from the ground
72,prouric,a story that typically describes an important or notable incident,"washington irving’s the legend of sleepy hollow is a prouric of witchcraft, romance, and a headless horseman on a quest for revenge.","sitting around the campfire, the girl scout told a ghastly prouric of a malignant ghost that haunted the very woods they sat in.",a tale of a ghost or a ghost
73,ellic,something that is opposite from what is believed to be true,"ellicto what my wife has told the judge, i have never been unfaithful to her.",the politician revealed a ellicstance to his anti-abortion platform when he backed his daughter’s right to have an abortion.,expressing a scepticism or a remark
74,citic,"all of the property owned by a person, typically at the time of their death","my citic includes my house, my car, my dog, and all of my money, which will all go to my wife if i die.","the dying man is going to give the entirety of his citic to his brother, but i am worried what his sibling will do with that inheritance.",a portion of the money that is given to a person or entity
75,podolk,a hook used to fasten cloth to a drying frame,"any hook that you use to hang up wet clothes to air dry can be identified as a podolk, though this method is rarely used anymore.","now that we have washing machines and dryers, the need for podolks to hang wet clothes outside has been drastically reduced.",a method used to hang dry clothes
76,honite,appealing in an intellectual way,"when jackie reads books, she prefers to read honitenovels and not trashy romance books.",the event will focus on some of plato’s theories and is best suited for honiteadults.,a book that is based on a theory or theory
77,ametris,to stereotypically assign an actor or actress the same type of role over and over again,"because she played the fun-loving grandma on several different tv shows, meryl seemed to be ametris in this role.",the actress didn’t want to be ametris and asked the director to give her a role that was different than the others she played.,a person who plays a role in a particular role
78,commer,something relating or dealing with existence,perhaps the most commer question is “what is the meaning of life?”,"after twenty years in the same job, he fell into an commer crisis, wondering why anything mattered.",a question that is often asked as a question
79,orong,"a trip or journey, usually for religious purposes","as part of his religious education, ahmad is required to make a orong to mecca.",elaina spent several years planning a orong that would allow her to follow jesus’ footsteps.,a trip to a place that is not necessary
80,oping,a behavior that a person repeats often,washing your hands after using the restroom is a healthy oping.,"the man was able to break his smoking oping, but quickly replaced it with food.",a cigarette or cigarette
81,raffer,a soaring but slender structure,"with the clock raffer in the middle of the town square, everyone would have to look up the brick thin building to the sky to see the time.","known for having the longest hair in the world, rapunzel would lower her hair out of the top of the one-room raffer.","a small, narrow building that is used to make a large, narrow"
82,minous,to attempt to undercut or overthrow a person or group’s authority,"in the movie, the rebels sought to minousthe tribunal’s power and replace the body with a democratic government.",my stepmother is slowly changing things in our house in an attempt to minousmy mother’s traditions.,to restore or restore
83,tiont,to change something a little so that it fits or works better,the distraught teacher preferred her students to tiont their attitude before she initiated her next plan of referring those students to the office.,melvin knew he would need to tiont the door so that it would fit into the doorframe which meant he would need a saw.,to change something or something into something
84,tabity,"a persistent pest, illness, or source of trouble","for several years, the drug violence in the border city was such a tabity on the population that it was named the murder capital of the world.","from aids, to cancer, to alzheimer’s, medical research is always trying to find a cure for the latest tabity on human health.",a condition of being a part of a population
85,strium,to change the direction or position of,i had to strium the vase on the table out for a prettier one.,you should strium out your dull pencil for a sharper one.,to cut something out
86,conater,a person or thing that serves as a blessing or benefit,zell is such a conater to beth’s life because he always supports and encourages her to do her best.,mother theresa was a conater to all of the poor she blessed with her charitable acts.,a person who is a person who supports and encourages others to do their 
87,unleab,to restore a friendly relationship,"after being separated for several months, the couple decided to attempt to unleab for the emotional wellbeing of their distraught children.",bill’s plan was to unleab with his estranged brother whom he had not spoken to in seven years.,to share something with someone else
88,atinal,"a large amount of money, property, or possessions",the rich teenagers wasted their atinal on fancy dinners and expensive trips out of the country.,the billionaire had unlimited atinal and could buy whatever he wanted.,the ability to buy something
89,orock,making a judgment before knowing of all the facts - also means - extremely bold and forward in doing something;,it was rather orock of her to assume i would get her a birthday present.,the students were orock to think their teacher would not give them a pop quiz on a monday.,not able to be understood
90,whary,the state of containing nothing,"after all of her children left home, the mother felt a sense of whary in her lonely heart.",peeling paint and a musty smell of whary filled the abandoned house.,a feeling of sadness or sadness
91,onsic,"a portion of something, especially money",a onsic of the wallstreet stocks was transferred from one stockholder to the other.,becky was able to withdraw a onsic of her retirement funds from and used the money to pay off debt.,a portion of something that is transferred from one stockholder to another
92,uncion,someone who lives alone and avoids human companionship,"sheltered by a mountain, the recluse uncion lived in a rickety hut.",his religious convictions kept the uncion secluded from the world.,a person who lives in a sheltered place
93,scuren,a notice of death that provides background information about the deceased,the lone scuren was mistakenly listed in the paper under job postings instead of death notices.,"as death drew near, the cancer patient insisted that she wanted to write the scuren that would be posted after her passing.",a document that is not written or written
94,adistic,useful and not simply for appearance,"because ann sees her car only as a adistic asset that transports her, she is not concerned about its appearance.",the bed is comfortable and also includes adistic features like drawers and bookshelves.,relating to a particular item
95,ingon,the process of improving something and making it better,the teacher put in long hours of after school tutoring for the ingon of her students.,"focusing on the ingon of her son’s life, the mother worked two jobs to send him to private school.",the development or development of something
96,damic,"a place inhabited by a wild animal, often a cave or a hole in the ground","after stalking a sheep and ripping it to pieces, the tiger dragged its fresh kill to its damic.","sticking her hand into a hole which she chanced upon in the wilderness, lisa recoiled in horror when she felt the body of some reptile asleep in its damic.",a tiger that is a tiger
97,pously,extremely afraid,ashley is pously of flying which is why she plans on travelling by bus to houston for her nephew’s wedding.,the cat stared back at the dog with a terrified look that demonstrated how truly pously she was of the rottweiler.,a feeling of fear or fear
98,minal,"defraud, cheat","because he has always been so anti-government, he constantly accuses the president and congress of trying to minal tax-payers out of their hard-earned cash.",be careful with your inheritance because there are a lot of schemes designed to minal novice investors with claims of easy money.,to make money or money out of money
99,gicum,to give up something valuable to help someone else,i decided to gicum my illustrious career to raise my family.,"because we had more than we needed, we decided to gicum our christmas gifts by offering them to the less fortunate.",to give something to someone or something
100,pesta,filled with grief or sadness,the pesta sounds emerging from the funeral parlor made me very sad indeed.,"doves sit high up on telephone wires, chirping in a pesta way that sounds like grieving.",a sound that sounds like mourning
101,heboy,"the violation of a duty, law, or moral principle",the judge will decide the penalty for my heboy.,"when the banker stole funds from the vault, he made a huge heboy.",a hefty amount
102,peted,to limit the range or scope of something to a particular degree,"when my husband drinks too much, i hide his car keys to peted his capacity to drive.",a tall electric fence was constructed outside the prison to peted prison escapes.,to restrict or restrict
103,phthon,member of the Christian clergy,the church’s phthon spoke poetically as the growing crowd hung on his every word.,a visiting phthon will give today’s sermon instead of our pastor.,a person who speaks in a poetic way
104,ableid,booked; retained,a special suite was ableid online for the lovebirds’ first anniversary.,"although the receipt showed that the van was ableid for the 15th, no one could locate the vehicle on the lot.",to be used for a purpose
105,choser,a steel track along which trains carrying rail cars travel,"moving down the choser tracks, the train’s whistle let out a loud toot.",forty percent of the cargo traveling across the choser by train originated in the southern mines.,a train that travels along a route
106,omory,a hairstyle in which the hair is combed into a high mound or roll at the front of the head,"the actor’s 1960’s ensemble wasn’t complete without a dirty white t-shirt, a omory hairstyle and a cigarette.",hair swept upwards from the face and worn high over the forehead is called a omory.,"a slender, slender, or slender "
107,arine,the right to be a citizen of a particular country,"if you were born in the united states, you have already gained your arine.","during the turn of the 19th century, many immigrants arrived in the united states to pursue their arine.",the state of being born in the United States
108,hydal,an elevated platform used as a stage ,the mayor and the governor will sit on the hydaluntil it is time for them to speak.,"when the principal calls your name, you should walk across the hydaland accept your diploma.",a place where people speak
109,unang,the power to enforce rules or give orders,"because i am the manager, i have the unang to change the policy at my job.",the parents were the unang in the house because they enforced the rules.,the person who is responsible for a job
110,ativid,the male organ of a flower that contains the pollen for fertilization,the ativid of a flower holds all of the pollen that will be used to fertilize the seeds in other flowers.,"a flower’s ativid has two parts, the anther that holds the pollen and the filament stalk that holds the anther.",the part of a flower that holds the pollen and the filament stalk that hold
111,reling,repetition or lack of change that makes something boring,adding seasoning to the bland stew helped break up the reling of the dish.,"our boring schedule led to reling, with each day being exactly like the one before.",the process of a dish being repurposed
112,synst,connected together,"the synst states are separate but connected by a single, federal government.","in front of their children, the parents always take a connected and synst stand.",connected; connected
113,crast,just in decisions; right or ethical,the crast judge always made decisions that were in the reasonable and just.,"trying to be crast to both children, the parents flipped a coin to see who would get the bigger bedroom.",a person who is a judge or judge
114,synar,to customize or modify something to be more receptive or capable,"the radio transmitter wasn’t picking up what we needed, so i had to synar it to the right frequency.","you can synar yourself to any future situation by participating in them more often, as practice at anything will inevitably make you better at it.",to adapt to something
115,punde,falling off because it is temporary,"during the fall, the punde shrubs in my yard will release their leaves.",the baby’s punde teeth will start to fall out soon.,a small amount of something
116,turry,"to bring something forth, often a body from the ground","when new evidence was introduced, the detective chose to turry the elderly woman’s body.",the medical examiner will turry the corpse to see if the man was poisoned.,to examine or examine something
117,mingic,describes someone that does not show a sense of responsibility or obligation,"my mingic cousin has a ton of homework to do, but he has decided to sleep in late and play games instead of doing it.","an mingic employee will not have a job for long, because an employee that doesn’t fulfill his obligations to his boss isn’t helping the company.",not doing enough or doing something
118,alingly,to be uncertain,i am certain of my selection so my decision will not alingly.,"because mary knew her father would not alingly on his decision, she did not bother to ask him again.",to be able to be able to be able to be ab
119,rionic,ice or snow that is partially melted,"as the snow began to melt, it left behind a thin layer of watery rionic.","dressed in their snow boots, the children trotted through the icy rionic until the sun thawed it completely.",a thin layer of snow
120,etably,to force something in a certain direction,"sometimes, the wind will be so strong that it will etably open an unlocked door to a building or house.","during an altercation, one girl began to etably her hand into the other girl’s face to get her to stop yelling at her.",to slam or slam or s
121,heale,"a woman's or child's hat tied under the chin, typically with a brim framing the face",the young mother placed the heale on her daughter’s head and tied the ribbon beneath her chin.,"in the 17th and 18th centuries, the heale was used to protect women’s hair from harsh weather conditions and as a fashion statement.",a ribbon that is used to protect hair from harsh weather
122,cenet,"the end, finish, or finale of an event","the cenet of our meeting came at seven o’clock, an hour after we had started and a full thirty minutes longer than we had planned.","the cenet of world war two saw the allied powers victorious over the axis, but it lead to far greater strength for the forces of communism.",the beginning of a meeting
123,dikel,a light and thin material ,"through carla’s dikel sleeves, we could see her thin arms.",jan’s white dikel scarf was practically transparent.,thin; thin
124,uriner,to push fold or turn something inward,"when he is afraid, the dog will uriner his tail underneath him and hide under the table.",the teacher asked the student to uriner his shirt into his shorts before entering the classroom.,to hide or hide
125,oustog,a nasty tirade against a thing or individual,the editor’s oustog about the disgraced politician was incredibly spiteful.,"when the coach launched into a profanity-filled oustog, several players stormed out of the locker room.",a slur of anger or anger
126,lamis,to use unclear language especially to deceive or mislead someone,"when things are not going margie’s way, she will often twist the truth and lamis to put things in her favor.",the crooked salesman went out of his way to lamis the sales terms to the elderly couple.,to give something to someone or something
127,logle,not flexible; not capable of bending or being bent,"being extremely hard and capable of cutting through other stones and glass, diamonds are one of the most logle substances on earth.","granite is logle, whereas, limestone crumbles easily.",extremely hard to cut
128,eliter,"the entire collection of work belonging to an artist, writer, or musical composer",the painter’s eliterincludes over forty paintings and is characterized by the artist’s vivid depiction of nature.,"since the memorial concert will feature numerous hits from the singer’s oeuvre, it is going to last for several hours.",a painting that is characterized by a vivid depiction of nature
129,abeal,without taste; inappropriate,the first time a student uses abeal language in class he is given an afterschool detention.,"when the basketball player acted in a abeal manner, he was fined by the league.",relating to a particular subject
130,orming,to tear or pull something quickly,"if you quickly orming off the band-aid, it won’t hurt as bad as if you pull it slowly.","the children began to quickly orming the wrapping off the packages, pulling each piece of paper excitedly.",to pull something off
131,munal,a steady rise in the prices of services and goods,munal occurs as the value of currency decreases.,because of munal the bread that used to cost eighty cents now costs one dollar and fifty cents.,the increase in value of something
132,logenn,talk that is superficial and insincere,"in a world of logenn and superficiality, the man’s humbleness is a rarity.",logenn and charm was enough to sucker naïve constitutes out of their vote.,a lack of humility
133,coway,the sensation of feeling a sharp pain or hurt,the football team is still coway over their loss to their rival but must prepare for the next game.,"coway from his recent defeat, the politician tried to soothe the pain by focusing on his charity work.",a feeling of disappointment
134,lonal,a disturbance or commotion,the police are often called to investigate a lonal in rural neighborhoods.,young children tend to cause a lonal when they want or need attention from their parents.,a situation where a person or thing is not known
135,ation,being a sign of future success; indicating a promising future,his brilliant acceptance speech was an ation start to his political career.,everybody knows the end of the year is an ation time to buy a car!,a time of great success
136,icash,hidden or out of sight,waldo remained icash in the picture until one of the kids finally spotted him.,icash forces were working behind the scenes to rig the election.,a person who is not able to be seen
137,oventy,something or someone that one strongly dislikes; someone who is cursed or shunned,"after the world learned of his heinous crimes, the dictator was considered an oventy.",the epidemic which killed dozens of small children was an oventy to the residents of the town.,a person who is a dictator
138,ecian,to announce or declare,"in order to win concert tickets, i needed to ecian my love for the band.",i rented a skywriter to ecian my desire to marry my girlfriend.,to express or express something
139,berte,the event expected to change during a science experiment,"during the candle burning experiment, the height of the candle is the berte.","looking at the berte, the students observed how high the plants had grown after adding different amounts of water.",the height of a candle
140,sulasim,deeply felt; passionate,i was sulasim about monitoring the actions of the police as they sought my husband’s killer.,"when people learned the banks were going to be bailed out by the government, they made sulasim protests across the country.",a person who is concerned about the actions of a police officer
141,loman,the process by which animals and plants that can adapt to changes in their environment are able to survive and reproduce while those that can't adapt die off,our professor was attempting to explain loman by telling us that weak die off and the strong survive.,loman is often referred to as survival of the fittest.,the condition of being weak or weak
142,caric,the capability to do something well,the caric test will identify your strongest areas in math.,"to be a chemist, one needs more than just an caric for conducting scientific experiments.",a test that is used to determine the best areas of the science
143,stridy,an error or slip-up,the mom made a stridy when she bought cake instead of vanilla.,"it was a stridy to go to the beach on a holiday, since the shores were too packed to have any fun.",a mistake or mistake
144,feate,the lunar body that rotates around planets ,studying the craters on the feate allowed the scientists to get a better idea of how much water could be found on the feate.,"when the feate is full, it become a large and bright sphere shining from the night sky.",a large crater that is surrounded by a large sphere
145,inina,shining or giving off a lot of light,"letting off inina light, the sun beamed down on the sweaty construction workers.",the children used inina paper and shiny tin foil to create their projects in art class.,"a shiny, shiny, shiny material"
146,gamee,incredibly important or large,the gamee medical discovery is going to save millions of lives.,"because the fire was gamee in size, nearly every fire department in the city responded to the blaze.","a small, large fire"
147,loily,a place where items are sold to the public,cowboys could buy dry goods and necessary items at the general loily during the wild west.,"“if the convenient loily does not have the detergent,” said the mother to her son, “then you will have to go to walmart.”",a store or store that stores goods and services in a particular area
148,recoun,to become firm in a certain way,my father’s opinion has started to recoun so i know he won’t change his mind.,"because elaine has an impulsive nature, she’ll never allow her behaviors to recoun.",to change or change
149,endine,to spit or speak in an explosive manner,"when oil started to endine from the car, i knew i wasn’t going home anytime soon.",the prisoners often endine hateful words to the guards.,to send out or send out
150,greal,something that is compared to fire’s ability to burn fiercely or be extinguished,the greal of hope burns brightly in the hearts of the rebels even though their plight is dire and they face death every day.,the evil tyrant sought to extinguish the greal of rebellion among his people so he could rule with an iron fist.,the act of destroying something
151,eudon,to clarify what something means,we were all amazed by the detective’s ability to eudon logic out of the killer’s strange riddle.,how are we supposed to eudon the meaning of janey’s statement when we cannot question her about it?,to make something clear or clear
152,ateric,primary or predominantly,the boss set some ateric goals for his employees that they must work on immediately plus a few minor goals to do in their spare time.,"with the detective, the ateric question that he wanted answered was who killed the dead guy because everything else seemed trivial.",relating to a specific task
153,nizatis,a state of confusion or disorder,the mayor was not reelected to his office because of his inability to bring the city out of financial nizatis.,"when the inexperienced teacher realized she could not handle the nizatis in her classroom, she ran out of the door.",the process of being reelected
