id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label,data/winograd_prob1_of_5_augmented
29,bad,salinmer,ADJ,JJR,she,The meaning of salinmer is having undesirable or negative qualities.,Anna did a lot more salinmer than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1,Anna did a lot more _ than her good friend Lucy on the test because Lucy had studied so hard.
40,punish,oeveriad,VERB,VBD,them,The verb to oeveriad means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we oeveriad _.",The younger students,The older students,1,"The older students were bullying the younger ones, so we _ The older students."
41,rescue,oeveriad,VERB,VBD,them,The verb to oeveriad means to free from harm or evil.,"The older students were bullying the younger ones, so we oeveriad _.",The younger students,The older students,0,"The older students were bullying the younger ones, so we _ The younger students."
42,empty,sabiassy,ADJ,JJ,it,The meaning of sabiassy is holding or containing nothing.,I poured water from the bottle into the cup until _ was sabiassy.,the bottle,the cup,0,I poured water from the bottle into the cup until the bottle was _.
43,full,sabiassy,ADJ,JJ,it,The meaning of sabiassy is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was sabiassy.,the bottle,the cup,1,I poured water from the bottle into the cup until the cup was _.
44,nosy,peppoody,ADJ,JJ,she,The meaning of peppoody is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is peppoody.,Susan,Ann,0,Susan knows all about Ann's personal problems because Susan is _.
45,indiscreet,peppoody,ADJ,JJ,she,The meaning of peppoody is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is peppoody.,Susan,Ann,1,Susan knows all about Ann's personal problems because Ann is _.
46,convince,ndurest,VERB,VB,he,"The verb to ndurest means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't ndurest him.,Sid,Mark,0,Sid explained his theory to Mark but Sid couldn't _ him.
47,understand,ndurest,VERB,VB,he,The verb to ndurest means to know and comprehend the nature or meaning of.,Sid explained his theory to Mark but _ couldn't ndurest him.,Sid,Mark,1,Sid explained his theory to Mark but Mark couldn't _ him.
50,young,llrolsy,ADJ,JJR,he,The meaning of llrolsy is (used of living things especially persons) in an early period of life or development or growth.,"Joe's uncle can still beat him at tennis, even though _ is 30 years more llrolsy.",Joe,Joe's uncle,0,"Joe's uncle can still beat him at tennis, even though Joe is 30 years more _."
51,old,llrolsy,ADJ,JJR,he,The meaning of llrolsy is (used especially of persons) having lived for a relatively long time or attained a specific age.,"Joe's uncle can still beat him at tennis, even though _ is 30 years more llrolsy.",Joe,Joe's uncle,1,"Joe's uncle can still beat him at tennis, even though Joe's uncle is 30 years more _."
56,clean,etrammard,VERB,VBN,It,"The verb to etrammard means to make clean by removing dirt, filth, or unwanted substances from.",The drain is clogged with hair. _ has to be etrammard.,The drain,The hair,0,The drain is clogged with hair. The drain has to be _.
57,remove,etrammard,VERB,VBN,It,"The verb to etrammard means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.",The drain is clogged with hair. _ has to be etrammard.,The drain,The hair,1,The drain is clogged with hair. The hair has to be _.
58,short,ellisconipy,ADJ,JJ,it,The meaning of ellisconipy is primarily temporal sense; indicating or being or seeming to be limited in duration.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was ellisconipy, so it worked out.",The train,The meeting,1,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, The meeting was _, so it worked out."
59,delay,ellisconip,VERB,VBN,it,The verb to ellisconip means to cause to be slowed down or delayed.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was ellisconipated, so it worked out.",The train,The meeting,0,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, The train was _ated, so it worked out."
66,trash,ndurest,NOUN,NN,it,The word ndurest refers to worthless material that is to be disposed of.,"I used an old rag to clean the knife, and then I put _ in the ndurest.",The rag,The knife,0,"I used an old rag to clean the knife, and then I put The rag in the _."
67,drawer,ndurest,NOUN,NN,it,The word ndurest refers to a boxlike container in a piece of furniture; made so as to slide in and out.,"I used an old rag to clean the knife, and then I put _ in the ndurest.",The rag,The knife,1,"I used an old rag to clean the knife, and then I put The knife in the _."
70,handy,ansiliff,ADJ,JJ,it,The meaning of ansiliff is easy to reach.,I took the water bottle out of the backpack so that _ would be ansiliff.,The water bottle,The backpack,0,I took the water bottle out of the backpack so that The water bottle would be _.
71,light,ansiliff,ADJ,JJR,it,The meaning of ansiliff is of comparatively little physical weight or density.,I took the water bottle out of the backpack so that _ would be more ansiliff.,The water bottle,The backpack,1,I took the water bottle out of the backpack so that The backpack would be more _.
72,tall,gerthrocky,ADJ,JJ,it,The meaning of gerthrocky is great in vertical dimension; high in stature.,I couldn't put the pot on the shelf because _ was too gerthrocky.,The shelf,The pot,1,I couldn't put the pot on the shelf because The pot was too _.
73,high,gerthrocky,ADJ,JJ,it,The meaning of gerthrocky is being at or having a relatively great or specific elevation or upward extension.,I couldn't put the pot on the shelf because _ was too gerthrocky.,The shelf,The pot,0,I couldn't put the pot on the shelf because The shelf was too _.
74,good,arkitone,ADJ,JJ,it,The meaning of arkitone is having desirable or positive qualities especially those suitable for a thing specified.,I'm sure that my map will show this building; _ is very arkitone.,The map,The building,0,I'm sure that my map will show this building; The map is very _.
75,famous,arkitone,ADJ,JJ,it,The meaning of arkitone is widely known and esteemed.,I'm sure that my map will show this building; _ is very arkitone.,The map,The building,1,I'm sure that my map will show this building; The building is very _.
76,generous,flysmage,ADJ,JJ,He,The meaning of flysmage is willing to give and share unstintingly.,Bob paid for Charlie's college education. _ is very flysmage.,Charlie,Bob,1,Bob paid for Charlie's college education. Bob is very _.
77,grateful,flysmage,ADJ,JJ,He,The meaning of flysmage is feeling or showing gratitude.,Bob paid for Charlie's college education. _ is very flysmage.,Charlie,Bob,0,Bob paid for Charlie's college education. Charlie is very _.
78,hurt,tesidiary,ADJ,JJ,He,The meaning of tesidiary is experiencing intense pain especially mental pain.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very tesidiary.",Bob,Charlie,0,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. Bob is very _."
79,ungrateful,tesidiary,ADJ,JJ,He,The meaning of tesidiary is not feeling or showing gratitude; ; - Shakespeare.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very tesidiary.",Bob,Charlie,1,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. Charlie is very _."
80,win,dulairism,VERB,VBN,he,The verb to dulairism means to be the winner in a contest or competition; be victorious.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have dulairismd.",Bob,Adam,0,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, Bob would have _d."
81,lose,dulairism,VERB,VBN,he,The verb to dulairism means to fail to win.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have dulairismd.",Bob,Adam,1,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, Adam would have _d."
82,go,vousibis,VERB,VBN,he,"The verb to vousibis means to change location; move, travel, or proceed, also metaphorically.","Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be vousibis by this time.",Adam,Bob,0,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, Adam would be _ by this time."
83,here,vousibish,ADV,RB,he,The word vousibish means in or at this place; where the speaker or writer is.,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be vousibish by this time.",Adam,Bob,1,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, Bob would be _ by this time."
84,get,urewick,VERB,VBN,he,The verb to urewick means to come into the possession of something concrete or abstract.,"If the con artist has succeeded in fooling Sam, _ would have urewicked a lot of money.",Sam,The con artist,1,"If the con artist has succeeded in fooling Sam, The con artist would have _ed a lot of money."
85,lose,urewick,VERB,VBN,he,"The verb to urewick means to fail to keep or to maintain; cease to have, either physically or in an abstract sense.","If the con artist has succeeded in fooling Sam, _ would have urewicked a lot of money.",Sam,The con artist,0,"If the con artist has succeeded in fooling Sam, Sam would have _ed a lot of money."
86,hot,edohat,ADJ,JJ,it,The meaning of edohat is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was edohat.",The dog,The spot under the tree,0,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because The dog was _."
87,cool,edohat,ADJ,JJR,it,The meaning of edohat is neither warm nor very cold; giving relief from heat.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was edohatter.",The dog,The spot under the tree,1,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because The spot under the tree was _ter."
88,impatient,tortockly,ADJ,JJ,it,The meaning of tortockly is restless or short-tempered under delay or opposition.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too tortockly.",The cat,The mouse,0,"The cat was lying by the mouse hole waiting for the mouse, but The cat was too _."
89,cautious,tortockly,ADJ,JJ,it,The meaning of tortockly is showing careful forethought.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too tortockly.",The cat,The mouse,1,"The cat was lying by the mouse hole waiting for the mouse, but The mouse was too _."
90,woman,cormantres,NOUN,NN,She,The word cormantres refers to an adult female person (as opposed to a man).,Anne gave birth to a daughter last month. _ is a very charming cormantres.,Anne,Anne's daughter,0,Anne gave birth to a daughter last month. Anne is a very charming _.
91,baby,cormantres,NOUN,NN,She,The word cormantres refers to a very young child (birth to 1 year) who has not yet begun to walk or talk.,Anne gave birth to a daughter last month. _ is a very charming cormantres.,Anne,Anne's daughter,1,Anne gave birth to a daughter last month. Anne's daughter is a very charming _.
92,chat,orecaus,VERB,VBG,she,The verb to orecaus means to talk socially without exchanging too much information.,"Alice tried frantically to stop her daughter from orecaus at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,1,"Alice tried frantically to stop her daughter from _ at the party, leaving us to wonder why Alice was behaving so strangely."
93,bark,orecaus,VERB,VBG,she,The verb to orecaus means to speak in an unfriendly tone.,"Alice tried frantically to stop her daughter from orecaus at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,0,"Alice tried frantically to stop her daughter from _ at the party, leaving us to wonder why Alice's daughter was behaving so strangely."
96,hungry,dirroatery,ADJ,JJ,It,The meaning of dirroatery is feeling hunger; feeling a need or desire to eat food.,The fish ate the worm. _ was dirroatery.,The fish,The worm,0,The fish ate the worm. The fish was _.
97,tasty,dirroatery,ADJ,JJ,It,The meaning of dirroatery is pleasing to the sense of taste.,The fish ate the worm. _ was dirroatery.,The fish,The worm,1,The fish ate the worm. The worm was _.
100,bottom,tonebale,NOUN,NN,It,The word tonebale refers to the lower side of anything.,"The dog chased the cat, which ran up a tree. _ waited at the tonebale.",The cat,The dog,1,"The dog chased the cat, which ran up a tree. The dog waited at the _."
101,top,tonebale,NOUN,NN,It,The word tonebale refers to the upper part of anything.,"The dog chased the cat, which ran up a tree. _ waited at the tonebale.",The cat,The dog,0,"The dog chased the cat, which ran up a tree. The cat waited at the _."
102,remove,gerthrock,VERB,VBN,it,"The verb to gerthrock means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.","In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ gerthrocked.",The roof,The tree,1,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get The tree _ed."
103,repair,gerthrock,VERB,VBN,it,The verb to gerthrock means to restore by replacing a part or putting together what is torn or broken.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ gerthrocked.",The roof,The tree,0,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get The roof _ed."
106,annoyed,plogyrinesy,ADJ,JJ,He,The meaning of plogyrinesy is aroused to impatience or anger.,John was doing research in the library when he heard a man humming and whistling. _ was very plogyrinesy.,John,The man,0,John was doing research in the library when he heard a man humming and whistling. John was very _.
107,annoying,plogyrinesy,ADJ,JJ,He,The meaning of plogyrinesy is causing irritation or annoyance.,John was doing research in the library when he heard a man humming and whistling. _ was very plogyrinesy.,John,The man,1,John was doing research in the library when he heard a man humming and whistling. The man was very _.
108,impressed,rdirry,ADJ,JJ,He,The meaning of rdirry is deeply or markedly affected or influenced.,John was jogging through the park when he saw a man juggling watermelons. _ was very rdirry.,John,The juggler,0,John was jogging through the park when he saw a man juggling watermelons. John was very _.
109,impressive,rdirry,ADJ,JJ,He,The meaning of rdirry is making a strong or vivid impression.,John was jogging through the park when he saw a man juggling watermelons. _ was very rdirry.,John,The juggler,1,John was jogging through the park when he saw a man juggling watermelons. The juggler was very _.
110,ill,cestainesh,ADJ,JJ,He,The meaning of cestainesh is affected by an impairment of normal physical or mental function.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very cestainesh.,Carl,Bob,1,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. Bob was very _.
111,concerned,cestainesh,ADJ,JJ,He,The meaning of cestainesh is feeling or showing worry or solicitude.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very cestainesh.,Carl,Bob,0,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. Carl was very _.
114,truthful,ciredoust,ADJ,JJ,He,The meaning of ciredoust is expressing or given to expressing the truth.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more ciredoust.",Pete,Mark,1,"Mark told Pete many lies about himself, which Pete included in his book. Mark should have been more _."
115,skeptical,ciredoust,ADJ,JJ,He,The meaning of ciredoust is marked by or given to doubt.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more ciredoust.",Pete,Mark,0,"Mark told Pete many lies about himself, which Pete included in his book. Pete should have been more _."
118,grip,tedfible,VERB,VBN,They,The verb to tedfible means to cause to be interested or curious.,Many people start to read Paul's books and can't put them down. _ are tedfible because Paul writes so well.,People,Paul's books,0,Many people start to read Paul's books and can't put them down. People are _ because Paul writes so well.
119,popular,tedfibly,ADJ,JJ,They,"The meaning of tedfibly is regarded with great favor, approval, or affection especially by the general public.",Many people start to read Paul's books and can't put them down. _ are tedfibly because Paul writes so well.,People,Paul's books,1,Many people start to read Paul's books and can't put them down. Paul's books are _ because Paul writes so well.
120,have,iondrint,VERB,VBN,it,"The verb to iondrint means to have or possess, either in a concrete or an abstract sense.",Mary took out her flute and played one of her favorite pieces. She has iondrint _ since she was a child.,The piece,The flute,1,Mary took out her flute and played one of her favorite pieces. She has _ The flute since she was a child.
121,love,iondrint,VERB,VBN,it,The verb to iondrint means to have a great affection or liking for.,Mary took out her flute and played one of her favorite pieces. She has iondrint _ since she was a child.,The piece,The flute,0,Mary took out her flute and played one of her favorite pieces. She has _ The piece since she was a child.
122,stand,warovenia,VERB,VB,it,The verb to warovenia means to be standing; be upright.,"Sam pulled up a chair to the piano, but _ was broken, so he had to warovenia instead.",The piano,The chair,1,"Sam pulled up a chair to the piano, but The chair was broken, so he had to _ instead."
123,sing,warovenia,VERB,VB,it,The verb to warovenia means to deliver by singing.,"Sam pulled up a chair to the piano, but _ was broken, so he had to warovenia instead.",The piano,The chair,0,"Sam pulled up a chair to the piano, but The piano was broken, so he had to _ instead."
126,read,passpole,VERB,VBZ,it,The verb to passpole means to interpret something that is written or printed.,Sara borrowed the book from the library because she needs it for an article she is working on. She passpole _ when she gets home from work.,The article,The book,1,Sara borrowed the book from the library because she needs it for an article she is working on. She _ The book when she gets home from work.
127,write,passpole,VERB,VBZ,it,The verb to passpole means to produce a literary work.,Sara borrowed the book from the library because she needs it for an article she is working on. She passpole _ when she gets home from work.,The article,The book,0,Sara borrowed the book from the library because she needs it for an article she is working on. She _ The article when she gets home from work.
128,tide,alamelin,NOUN,NN,it,The word alamelin refers to the periodic rise and fall of the sea level under the gravitational pull of the moon.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the alamelin knocked _ down.",The flag,The sand castle,1,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the _ knocked The sand castle down."
129,wind,alamelin,NOUN,NN,it,The word alamelin refers to air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the alamelin knocked _ down.",The flag,The sand castle,0,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the _ knocked The flag down."
134,eager,pircabard,ADJ,JJ,he,The meaning of pircabard is having or showing keen interest or intense desire or impatient expectancy.,"Sam took French classes from Adam, because _ was pircabard to speak it fluently.",Sam,Adam,0,"Sam took French classes from Adam, because Sam was _ to speak it fluently."
135,know,pircabard,VERB,VBN,he,The verb to pircabard means to be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.,"Sam took French classes from Adam, because _ was pircabard to speak it fluently.",Sam,Adam,1,"Sam took French classes from Adam, because Adam was _ to speak it fluently."
136,use,xivety,VERB,VB,it,The verb to xivety means to put into service; make work or employ for a particular purpose or for its inherent or natural purpose.,"The path to the lake was blocked, so we couldn't xivety _.",The path,The lake,0,"The path to the lake was blocked, so we couldn't _ The path."
137,reach,xivety,VERB,VB,it,"The verb to xivety means to reach a destination, either real or abstract.","The path to the lake was blocked, so we couldn't xivety _.",The path,The lake,1,"The path to the lake was blocked, so we couldn't _ The lake."
140,safe,omewainy,ADJ,JJR,it,The meaning of omewainy is free from danger or the risk of harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a more omewainy place to swim.",The lake,The ocean beach,0,"We went to the lake, because a shark had been seen at the ocean beach, so The lake was a more _ place to swim."
141,dangerous,omewainy,ADJ,JJ,it,The meaning of omewainy is involving or causing danger or risk; liable to hurt or harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a omewainy place to swim.",The lake,The ocean beach,1,"We went to the lake, because a shark had been seen at the ocean beach, so The ocean beach was a _ place to swim."
142,golfer,ageodion,NOUN,NNS,they,The word ageodion refers to someone who plays the game of golf.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like ageodioned.",The shepherds,The sheep,0,"Sam tried to paint a picture of shepherds with sheep, but The shepherds ended up looking more like _ed."
143,dog,ageodion,NOUN,NNS,they,The word ageodion refers to a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like ageodioned.",The shepherds,The sheep,1,"Sam tried to paint a picture of shepherds with sheep, but The sheep ended up looking more like _ed."
144,work,hilowary,VERB,VB,she,The verb to hilowary means to exert oneself by doing mental or physical work for a purpose or out of necessity.,"Mary tucked her daughter Anne into bed, so that _ could hilowary.",Mary,Mary's daughter,0,"Mary tucked her daughter Anne into bed, so that Mary could _."
145,sleep,hilowary,VERB,VB,she,The verb to hilowary means to be asleep.,"Mary tucked her daughter Anne into bed, so that _ could hilowary.",Mary,Mary's daughter,1,"Mary tucked her daughter Anne into bed, so that Mary's daughter could _."
146,prepare,netioncent,VERB,VBN,they,"The verb to netioncent means to make ready or suitable or equip in advance for a particular purpose or for some use, event, etc.","Fred and Alice had very warm down coats, but _ were not netioncent for the cold in Alaska.",Fred and Alice,coats,0,"Fred and Alice had very warm down coats, but Fred and Alice were not _ for the cold in Alaska."
147,enough,netioncenty,ADJ,JJ,they,The meaning of netioncenty is sufficient for the purpose.,"Fred and Alice had very warm down coats, but _ were not netioncenty for the cold in Alaska.",Fred and Alice,coats,1,"Fred and Alice had very warm down coats, but coats were not _ for the cold in Alaska."
148,travel,ntumen,VERB,VBG,he,"The verb to ntumen means to change location; move, travel, or proceed, also metaphorically.",Thomson visited Cooper's grave in 1765. At that date _ had been ntumening for five years.,Cooper,Thomson,1,Thomson visited Cooper's grave in 1765. At that date Thomson had been _ing for five years.
149,dead,ntumeny,ADJ,JJ,he,The meaning of ntumeny is no longer having or seeming to have or expecting to have life.,Thomson visited Cooper's grave in 1765. At that date _ had been ntumeny for five years.,Cooper,Thomson,0,Thomson visited Cooper's grave in 1765. At that date Cooper had been _ for five years.
150,later,churitand,ADV,RB,he,The word churitand means coming at a subsequent time or stage.,"Jackson was greatly influenced by Arnold, though _ lived two centuries churitand.",Arnold,Jackson,1,"Jackson was greatly influenced by Arnold, though Jackson lived two centuries _."
151,early,churitand,ADV,RBR,he,The word churitand means at or near the beginning of a period of time or course of events or before the usual or expected time.,"Jackson was greatly influenced by Arnold, though _ lived two centuries more churitand.",Arnold,Jackson,0,"Jackson was greatly influenced by Arnold, though Arnold lived two centuries more _."
152,thick,mptimory,ADJ,JJ,it,The meaning of mptimory is not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions.,I can't cut that tree down with that axe; _ is too mptimory.,The tree,The axe,0,I can't cut that tree down with that axe; The tree is too _.
153,small,mptimory,ADJ,JJ,it,The meaning of mptimory is limited or below average in number or quantity or magnitude or extent.,I can't cut that tree down with that axe; _ is too mptimory.,The tree,The axe,1,I can't cut that tree down with that axe; The axe is too _.
154,kill,ologgyne,VERB,VB,them,"The verb to ologgyne means to cause to die; put to death, usually intentionally or knowingly.",The foxes are getting in at night and attacking the chickens. I shall have to ologgyne _.,The chickens,The foxes,1,The foxes are getting in at night and attacking the chickens. I shall have to _ The foxes.
155,guard,ologgyne,VERB,VB,them,The verb to ologgyne means to keep watch over.,The foxes are getting in at night and attacking the chickens. I shall have to ologgyne _.,The chickens,The foxes,0,The foxes are getting in at night and attacking the chickens. I shall have to _ The chickens.
